nutrient_id,sex_code,life_code,age_band_id,ref_code,calc_kind,factor,var,per_unit,offset
vitamin_b6,M,general,5,EAR,ABS,0.6,,,
vitamin_b6,M,general,5,RDA,ABS,0.7,,,
vitamin_b6,M,general,5,UL,ABS,20,,,
vitamin_b6,M,general,6,EAR,ABS,0.8,,,
vitamin_b6,M,general,6,RDA,ABS,0.9,,,
vitamin_b6,M,general,6,UL,ABS,25,,,
vitamin_b6,M,general,7,EAR,ABS,0.9,,,
vitamin_b6,M,general,7,RDA,ABS,1.0,,,
vitamin_b6,M,general,7,UL,ABS,30,,,
vitamin_b6,M,general,8,EAR,ABS,1.2,,,
vitamin_b6,M,general,8,RDA,ABS,1.4,,,
vitamin_b6,M,general,8,UL,ABS,40,,,
vitamin_b6,M,general,9,EAR,ABS,1.2,,,
vitamin_b6,M,general,9,RDA,ABS,1.5,,,
vitamin_b6,M,general,9,UL,ABS,50,,,
vitamin_b6,M,general,10,EAR,ABS,1.2,,,
vitamin_b6,M,general,10,RDA,ABS,1.5,,,
vitamin_b6,M,general,10,UL,ABS,55,,,
vitamin_b6,M,general,11,EAR,ABS,1.2,,,
vitamin_b6,M,general,11,RDA,ABS,1.5,,,
vitamin_b6,M,general,11,UL,ABS,60,,,
vitamin_b6,M,general,12,EAR,ABS,1.2,,,
vitamin_b6,M,general,12,RDA,ABS,1.5,,,
vitamin_b6,M,general,12,UL,ABS,60,,,
vitamin_b6,M,general,13,EAR,ABS,1.2,,,
vitamin_b6,M,general,13,RDA,ABS,1.4,,,
vitamin_b6,M,general,13,UL,ABS,55,,,
vitamin_b6,M,general,14,EAR,ABS,1.2,,,
vitamin_b6,M,general,14,RDA,ABS,1.4,,,
vitamin_b6,M,general,14,UL,ABS,50,,,
vitamin_b6,F,general,1,AI,ABS,0.2,,,
vitamin_b6,F,general,2,AI,ABS,0.3,,,
vitamin_b6,F,general,3,EAR,ABS,0.4,,,
vitamin_b6,F,general,3,RDA,ABS,0.5,,,
vitamin_b6,F,general,3,UL,ABS,10,,,
vitamin_b6,F,general,4,EAR,ABS,0.5,,,
