食品名,水分,トリアシルグリセロール当量,脂質,脂肪酸総量,飽和脂肪酸,一価不飽和脂肪酸,多価不飽和脂肪酸,n-3系脂肪酸,n-6系脂肪酸
単位,g,g,g,g,g,g,g,g,g
＜魚類＞　（さけ・ます類）　べにざけ　生,71.4,3.7,4.5,3.59,0.81,1.75,1.03,0.92,0.11
＜魚類＞　（さけ・ます類）　べにざけ　焼き,63.4,4.9,6.0,4.65,1.06,2.29,1.30,1.16,0.14
＜魚類＞　（さけ・ます類）　べにざけ　くん製,64.0,4.4,5.5,4.23,0.97,2.04,1.23,1.09,0.12
＜魚類＞　（さけ・ます類）　ますのすけ　生,66.5,9.7,12.5,9.25,2.50,4.78,1.97,1.59,0.37
＜魚類＞　（さけ・ます類）　ますのすけ　焼き,54.9,13.1,16.7,12.57,3.44,6.57,2.56,2.06,0.50
＜魚類＞　（さば類）　まさば　生,62.1,12.8,16.8,12.27,4.57,5.03,2.66,2.12,0.43
＜魚類＞　（さば類）　まさば　水煮,57.4,17.3,22.6,16.53,6.12,6.62,3.79,3.04,0.60
＜魚類＞　（さば類）　まさば　焼き,54.1,17.1,22.4,16.38,5.87,6.68,3.84,3.10,0.61
＜魚類＞　（さば類）　まさば　フライ,47.2,21.9,25.1,20.96,4.68,10.11,6.17,3.95,2.13
＜魚類＞　（さば類）　ごまさば　生,70.7,3.7,5.1,3.54,1.20,0.87,1.48,1.21,0.26
＜魚類＞　（さば類）　ごまさば　水煮,68.8,3.8,5.2,3.60,1.23,0.89,1.48,1.20,0.27
＜魚類＞　（さば類）　ごまさば　焼き,60.8,4.7,6.6,4.53,1.55,1.11,1.87,1.52,0.34
＜魚類＞　（さば類）　ごまさば　さば節,14.6,2.8,5.1,2.69,1.02,0.77,0.90,0.73,0.16
＜魚類＞　（さば類）　たいせいようさば　生,54.5,23.4,26.8,22.45,5.19,9.79,7.46,6.56,0.64
＜魚類＞　（さば類）　たいせいようさば　水煮,51.4,24.0,28.5,22.95,5.54,10.36,7.05,6.13,0.66
＜魚類＞　（さば類）　たいせいようさば　焼き,47.0,23.8,29.3,22.84,5.67,10.62,6.55,5.66,0.64
＜魚類＞　（さば類）　加工品　塩さば,52.1,16.3,19.1,15.66,3.79,6.63,5.24,4.62,0.49
＜魚類＞　（さば類）　加工品　開き干し,50.1,22.7,28.5,21.74,6.57,8.60,6.58,5.58,0.84
＜魚類＞　（さば類）　加工品　しめさば,50.6,20.6,26.9,19.75,5.79,8.26,5.69,4.87,0.68
＜魚類＞　（さば類）　缶詰　水煮,66.0,9.3,10.7,8.93,2.42,3.47,3.03,2.73,0.30
＜魚類＞　（さば類）　缶詰　みそ煮,61.0,12.5,13.9,12.00,3.70,4.41,3.88,3.33,0.52
＜魚類＞　（さば類）　缶詰　味付け,59.6,11.2,12.6,10.75,3.35,3.87,3.53,3.08,0.42
＜魚類＞　（さめ類）　あぶらつのざめ　生,72.4,6.6,9.4,6.36,1.72,2.88,1.76,1.43,0.30
＜魚類＞　（さめ類）　よしきりざめ　生,79.2,0.2,0.6,0.22,0.07,0.05,0.10,0.07,0.02
＜魚類＞　（さめ類）　ふかひれ,13.0,0.5,1.6,0.46,0.17,0.12,0.16,0.11,0.05
＜魚類＞　さより　生,77.9,0.9,1.3,0.90,0.26,0.21,0.42,0.37,0.05
＜魚類＞　さわら　生,68.6,8.4,9.7,8.01,2.51,3.45,2.05,1.70,0.31
＜魚類＞　さわら　焼き,63.8,9.2,10.8,8.82,2.75,3.85,2.22,1.84,0.34
＜魚類＞　さんま　皮つき　生,55.6,22.7,25.6,21.77,4.84,10.58,6.35,5.59,0.55
＜魚類＞　さんま　皮なし　生,57.0,21.7,25.0,20.83,4.72,10.02,6.09,5.38,0.52
＜魚類＞　さんま　皮つき　焼き,53.2,19.8,22.8,18.95,4.31,9.03,5.61,4.95,0.48
＜魚類＞　さんま　開き干し,59.7,15.8,19.0,15.10,3.49,7.66,3.94,3.54,0.41
＜魚類＞　さんま　みりん干し,25.1,20.3,25.8,19.50,4.56,10.28,4.65,3.90,0.63
＜魚類＞　さんま　缶詰　味付け,53.9,17.2,18.9,16.46,3.77,7.98,4.70,4.16,0.49
＜魚類＞　さんま　缶詰　かば焼,57.0,11.7,13.0,11.24,2.55,5.65,3.04,2.67,0.34
＜魚類＞　しいら　生,75.5,1.4,1.9,1.39,0.50,0.33,0.55,0.47,0.07
＜魚類＞　（ししゃも類）　ししゃも　生干し　生,67.6,7.1,8.1,6.75,1.62,3.40,1.73,1.47,0.15
＜魚類＞　（ししゃも類）　ししゃも　生干し　焼き,64.1,6.6,7.8,6.27,1.53,3.11,1.63,1.41,0.14
＜魚類＞　（ししゃも類）　からふとししゃも　生干し　生,69.3,9.9,11.6,9.50,1.95,5.52,2.03,1.73,0.19
＜魚類＞　（ししゃも類）　からふとししゃも　生干し　焼き,66.4,9.9,11.3,9.52,2.01,5.45,2.06,1.76,0.20
＜魚類＞　したびらめ　生,78.0,1.2,1.6,1.11,0.34,0.33,0.45,0.38,0.06
＜魚類＞　しまあじ　養殖　生,68.9,6.6,8.0,6.29,1.88,2.37,2.04,1.63,0.41
＜魚類＞　しらうお　生,82.6,1.4,2.0,1.33,0.34,0.30,0.69,0.62,0.05
＜魚類＞　シルバー　生,72.4,6.5,7.9,6.19,1.85,2.85,1.49,1.36,0.13
＜魚類＞　すずき　生,74.8,3.5,4.2,3.32,1.04,1.20,1.08,0.87,0.13
＜魚類＞　（たい類）　きだい　生,76.9,2.5,3.1,2.38,0.87,0.83,0.68,0.57,0.10
＜魚類＞　（たい類）　くろだい　生,71.4,5.4,6.7,5.18,1.78,2.33,1.07,0.89,0.15
＜魚類＞　（たい類）　ちだい　生,76.8,1.9,2.4,1.85,0.66,0.60,0.59,0.49,0.08
＜魚類＞　（たい類）　まだい　天然　生,72.2,4.6,5.8,4.44,1.47,1.59,1.38,1.16,0.17
＜魚類＞　（たい類）　まだい　養殖　皮つき　生,68.5,7.8,9.4,7.42,2.26,2.72,2.44,1.78,0.54
＜魚類＞　（たい類）　まだい　養殖　皮つき　水煮,65.0,9.3,11.9,8.90,2.88,3.17,2.86,2.23,0.48
＜魚類＞　（たい類）　まだい　養殖　皮つき　焼き,63.8,9.4,12.0,9.01,2.88,3.18,2.95,2.24,0.56
＜魚類＞　（たい類）　まだい　養殖　皮なし　生,71.9,4.8,5.9,4.58,1.29,1.78,1.52,0.99,0.49
＜魚類＞　たかさご　生,76.7,1.1,1.5,1.03,0.43,0.24,0.36,0.31,0.05
＜魚類＞　たかべ　生,71.0,7.4,9.0,7.05,2.71,2.17,2.16,1.74,0.35
＜魚類＞　たちうお　生,61.6,17.7,20.9,16.96,5.83,7.26,3.87,3.15,0.42
＜魚類＞　（たら類）　すけとうだら　生,81.6,0.5,1.0,0.47,0.12,0.08,0.27,0.25,0.02
＜魚類＞　（たら類）　すけとうだら　フライ,61.9,11.3,11.9,10.79,1.00,6.63,3.17,1.13,2.03
＜魚類＞　（たら類）　すけとうだら　すり身,75.1,0.1,0.2,0.13,0.03,0.02,0.08,0.07,Tr
＜魚類＞　（たら類）　すけとうだら　すきみだら,38.2,0.2,0.3,0.22,0.06,0.04,0.12,0.11,0.01
＜魚類＞　（たら類）　すけとうだら　たらこ　生,65.2,2.9,4.7,2.80,0.71,0.81,1.28,1.19,0.07
＜魚類＞　（たら類）　すけとうだら　たらこ　焼き,58.6,3.7,6.1,3.59,0.91,1.04,1.64,1.54,0.09
＜魚類＞　（たら類）　すけとうだら　からしめんたいこ,66.6,2.3,3.3,2.22,0.54,0.59,1.09,1.01,0.07
＜魚類＞　（たら類）　まだら　生,80.9,0.1,0.2,0.14,0.03,0.03,0.07,0.07,0.01
＜魚類＞　（たら類）　まだら　焼き,72.8,0.2,0.2,0.20,0.05,0.04,0.11,0.10,0.01
＜魚類＞　（たら類）　まだら　しらこ　生,83.8,0.4,0.8,0.41,0.09,0.12,0.20,0.19,0.02
＜魚類＞　（たら類）　まだら　塩だら,82.1,Tr,0.1,0.04,0.01,0.01,0.02,0.02,Tr
＜魚類＞　（たら類）　まだら　干しだら,18.5,0.6,0.8,0.54,0.16,0.13,0.24,0.22,0.02
＜魚類＞　（たら類）　加工品　でんぶ,26.9,0.6,1.1,0.62,0.17,0.15,0.31,0.28,0.02
＜魚類＞　（たら類）　加工品　桜でんぶ,5.6,0.1,0.5,0.09,0.03,0.03,0.03,0.02,Tr
＜魚類＞　ちか　生,78.3,0.4,0.6,0.37,0.09,0.08,0.20,0.19,0.01
＜魚類＞　どじょう　生,79.1,0.6,1.2,0.55,0.16,0.16,0.22,0.09,0.13
＜魚類＞　どじょう　水煮,77.9,0.5,1.2,0.50,0.15,0.14,0.21,0.09,0.12
＜魚類＞　とびうお　生,76.9,0.5,0.7,0.44,0.15,0.07,0.22,0.20,0.02
＜魚類＞　とびうお　煮干し,12.5,1.1,2.2,1.03,0.37,0.14,0.53,0.46,0.07
＜魚類＞　とびうお　焼き干し,11.8,1.5,3.3,1.41,0.56,0.26,0.58,0.49,0.08
＜魚類＞　ナイルティラピア　生,73.5,4.6,5.3,4.36,1.41,1.89,1.06,0.46,0.61
＜魚類＞　なまず　生,72.0,7.3,8.6,6.99,1.76,3.48,1.75,0.96,0.75
＜魚類＞　にぎす　生,78.5,0.9,1.2,0.84,0.25,0.23,0.35,0.32,0.04
＜魚類＞　にしん　生,66.1,13.1,15.1,12.54,2.97,7.18,2.39,2.13,0.26
＜魚類＞　にしん　身欠きにしん,60.6,14.6,16.7,13.97,3.46,8.33,2.18,1.70,0.48
＜魚類＞　にしん　開き干し,59.8,17.1,19.7,16.42,3.85,9.21,3.35,2.77,0.26
＜魚類＞　にしん　くん製,43.9,19.9,22.1,19.08,4.53,11.43,3.13,2.52,0.39
＜魚類＞　にしん　かずのこ　生,66.1,3.4,6.7,3.23,0.85,0.93,1.45,1.37,0.08
＜魚類＞　にしん　かずのこ　乾,16.5,8.4,13.6,8.03,2.37,2.09,3.57,3.39,0.13
＜魚類＞　にしん　かずのこ　塩蔵　水戻し,80.0,1.6,3.0,1.49,0.52,0.45,0.52,0.48,0.03
＜魚類＞　はぜ　生,79.4,0.1,0.2,0.09,0.03,0.02,0.04,0.03,0.01
＜魚類＞　はぜ　つくだ煮,23.2,1.6,3.0,1.53,0.53,0.32,0.68,0.46,0.19
＜魚類＞　はぜ　甘露煮,29.5,1.1,2.2,1.02,0.38,0.26,0.38,0.28,0.10
＜魚類＞　はたはた　生,78.8,4.4,5.7,4.22,0.92,1.95,1.35,1.09,0.24
＜魚類＞　はたはた　生干し,71.1,9.2,10.3,8.83,2.01,3.78,3.04,2.61,0.37
＜魚類＞　はまふえふき　生,77.7,0.2,0.3,0.18,0.07,0.05,0.07,0.04,0.03
＜魚類＞　はも　生,71.0,4.3,5.3,4.10,1.36,1.28,1.45,1.25,0.20
＜魚類＞　ひらまさ　生,71.1,3.6,4.9,3.42,1.09,1.15,1.18,1.04,0.14
＜魚類＞　ひらめ　天然　生,76.8,1.6,2.0,1.52,0.43,0.48,0.61,0.51,0.08
＜魚類＞　ひらめ　養殖　皮つき　生,73.7,3.1,3.7,2.92,0.80,0.95,1.17,0.89,0.25
＜魚類＞　ひらめ　養殖　皮なし　生,76.0,1.9,2.5,1.78,0.49,0.57,0.72,0.55,0.16
＜魚類＞　（ふぐ類）　とらふぐ　養殖　生,78.9,0.2,0.3,0.20,0.06,0.04,0.10,0.08,0.02
＜魚類＞　（ふぐ類）　まふぐ　生,79.3,0.3,0.4,0.25,0.07,0.04,0.13,0.11,0.02
＜魚類＞　ふな　生,78.0,2.0,2.5,1.93,0.52,0.72,0.69,0.50,0.12
＜魚類＞　ふな　水煮,75.6,2.3,2.8,2.16,0.59,0.84,0.73,0.52,0.14
＜魚類＞　ふな　甘露煮,28.7,2.4,3.6,2.29,0.60,0.64,1.05,0.33,0.71
＜魚類＞　ふな　ふなずし,57.0,5.6,7.9,5.35,1.50,1.89,1.95,1.18,0.74
＜魚類＞　ぶり　成魚　生,59.6,13.1,17.6,12.49,4.42,4.35,3.72,3.35,0.37
＜魚類＞　ぶり　成魚　焼き,51.8,14.5,20.4,13.85,4.87,4.83,4.15,3.73,0.41
＜魚類＞　ぶり　はまち　養殖　皮つき　生,61.5,13.4,17.2,12.84,3.96,5.83,3.05,1.88,1.08
＜魚類＞　ぶり　はまち　養殖　皮なし　生,66.4,9.9,12.0,9.49,2.81,4.11,2.57,1.66,0.84
＜魚類＞　ほうぼう　生,74.9,3.0,4.2,2.85,0.96,1.04,0.85,0.73,0.12
＜魚類＞　ホキ　生,80.4,1.0,1.3,0.95,0.24,0.42,0.29,0.26,0.03
＜魚類＞　ほっけ　生,77.1,3.2,4.4,3.10,0.70,1.21,1.19,1.09,0.10
＜魚類＞　ほっけ　塩ほっけ,72.4,4.1,4.9,3.92,1.03,1.76,1.14,0.97,0.11
＜魚類＞　ほっけ　開き干し　生,67.0,8.3,9.4,7.92,1.99,3.48,2.45,2.14,0.20
＜魚類＞　ほっけ　開き干し　焼き,63.7,9.4,10.9,9.00,2.21,4.02,2.76,2.40,0.23
＜魚類＞　ぼら　生,74.7,4.3,5.0,4.13,1.18,1.40,1.56,1.37,0.19
＜魚類＞　ぼら　からすみ,25.9,14.9,28.9,14.23,2.68,5.71,5.83,4.47,1.10
＜魚類＞　ほんもろこ　生,75.1,3.2,4.1,3.10,0.82,1.23,1.06,0.69,0.36
＜魚類＞　（まぐろ類）　きはだ　生,74.0,0.6,1.0,0.59,0.21,0.12,0.25,0.21,0.04
＜魚類＞　（まぐろ類）　くろまぐろ　天然　赤身　生,70.4,0.8,1.4,0.73,0.25,0.29,0.19,0.17,0.03
＜魚類＞　（まぐろ類）　くろまぐろ　天然　脂身　生,51.4,23.5,27.5,22.52,5.91,10.20,6.41,5.81,0.60
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　生,68.8,6.7,7.6,6.41,1.73,2.53,2.15,1.87,0.27
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　水煮,64.1,6.8,8.3,6.53,1.92,2.71,1.90,1.62,0.26
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　蒸し,62.0,8.1,9.9,7.72,2.29,3.30,2.13,1.81,0.30
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　電子レンジ調理,60.0,7.2,8.7,6.93,1.96,2.84,2.12,1.82,0.28
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　焼き,59.6,9.2,10.6,8.80,2.49,3.57,2.74,2.36,0.36
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　ソテー,61.6,9.2,10.2,8.78,2.20,3.71,2.87,2.30,0.54
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　天ぷら,57.8,11.6,12.6,11.08,2.11,5.57,3.41,2.24,1.16
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　脂身　生,52.6,27.0,28.9,25.88,6.80,9.55,9.53,8.14,1.19
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　脂身　水煮,47.8,24.9,27.1,23.83,6.44,8.92,8.47,7.22,1.07
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　脂身　蒸し,50.2,25.3,27.3,24.19,6.40,8.99,8.80,7.50,1.10
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　脂身　電子レンジ調理,48.1,20.7,22.7,19.80,5.25,7.46,7.09,6.04,0.90
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　脂身　焼き,46.4,26.5,28.4,25.38,6.70,9.45,9.23,7.86,1.16
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　脂身　ソテー,45.7,25.4,27.8,24.31,6.24,9.47,8.60,7.18,1.24
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　脂身　天ぷら,42.0,23.5,25.4,22.51,4.99,9.76,7.76,5.85,1.77
＜魚類＞　（まぐろ類）　びんなが　生,71.8,0.6,0.7,0.58,0.15,0.19,0.23,0.21,0.03
＜魚類＞　（まぐろ類）　みなみまぐろ　赤身　生,77.0,0.2,0.4,0.20,0.06,0.05,0.09,0.08,0.01
＜魚類＞　（まぐろ類）　みなみまぐろ　脂身　生,50.3,25.4,28.3,24.36,6.06,10.62,7.68,6.77,0.84
＜魚類＞　（まぐろ類）　めじまぐろ　生,68.7,3.8,4.8,3.63,1.09,0.99,1.55,1.36,0.17
＜魚類＞　（まぐろ類） めばち　赤身　生,72.2,1.7,2.3,1.61,0.49,0.54,0.57,0.49,0.07
＜魚類＞　（まぐろ類） めばち　脂身　生,67.8,6.8,7.5,6.48,1.78,2.63,2.07,1.79,0.27
＜魚類＞　（まぐろ類）　缶詰　水煮　フレーク　ライト,82.0,0.5,0.7,0.48,0.18,0.11,0.18,0.15,0.03
＜魚類＞　（まぐろ類）　缶詰　水煮　フレーク　ホワイト,77.6,2.2,2.5,2.08,0.64,0.71,0.73,0.62,0.11
＜魚類＞　（まぐろ類）　缶詰　味付け　フレーク,65.7,1.8,2.3,1.75,0.58,0.49,0.68,0.57,0.11
＜魚類＞　（まぐろ類）　缶詰　油漬　フレーク　ライト,59.1,21.3,21.7,20.40,3.37,4.86,12.16,1.40,10.76
＜魚類＞　（まぐろ類）　缶詰　油漬　フレーク　ホワイト,56.0,21.8,23.6,20.81,4.85,4.24,11.73,0.55,11.18
＜魚類＞　マジェランあいなめ　生,62.8,19.6,22.9,18.79,4.15,13.33,1.31,1.00,0.31
＜魚類＞　まながつお　生,70.8,9.7,10.9,9.30,3.80,3.98,1.52,1.23,0.28
＜魚類＞　みなみくろたち　生,73.8,2.6,3.0,2.47,0.75,0.69,1.03,0.95,0.09
＜魚類＞　みなみだら　生,81.9,0.2,0.3,0.20,0.05,0.04,0.11,0.10,0.01
＜魚類＞　むつ　生,69.7,11.6,12.6,11.09,1.69,8.59,0.81,0.63,0.16
＜魚類＞　むつ　水煮,68.3,7.7,8.4,7.35,1.14,5.65,0.56,0.43,0.11
＜魚類＞　めじな　生,74.7,3.4,4.5,3.27,1.17,1.09,1.01,0.84,0.17
＜魚類＞　めばる　生,77.2,2.8,3.5,2.66,0.79,0.92,0.95,0.87,0.08
＜魚類＞　メルルーサ　生,81.1,0.5,0.6,0.45,0.11,0.15,0.19,0.17,0.01
＜魚類＞　やつめうなぎ　生,61.5,18.8,21.8,17.98,3.76,9.57,4.65,3.80,0.74
＜魚類＞　やつめうなぎ　干しやつめ,14.3,24.3,31.2,23.22,6.57,9.15,7.50,6.66,0.84
＜魚類＞　やまめ　養殖　生,75.6,3.7,4.3,3.50,0.91,1.39,1.20,0.73,0.45
＜魚類＞　わかさぎ　生,81.8,1.2,1.7,1.16,0.29,0.32,0.56,0.45,0.09
＜魚類＞　わかさぎ　つくだ煮,19.3,3.6,5.5,3.43,1.02,0.83,1.58,1.08,0.47
＜魚類＞　わかさぎ　あめ煮,21.0,2.8,5.1,2.67,0.87,0.50,1.30,0.90,0.38
＜貝類＞　あかがい　生,80.4,0.1,0.3,0.09,0.03,0.01,0.04,0.03,0.01
＜貝類＞　あげまき　生,87.1,0.3,0.6,0.32,0.10,0.07,0.14,0.13,0.02
＜貝類＞　あさり　生,90.3,0.2,0.7,0.22,0.08,0.05,0.09,0.06,0.03
＜貝類＞　あさり　蒸し,89.5,0.3,0.8,0.27,0.08,0.05,0.13,0.10,0.03
＜貝類＞　あさり　つくだ煮,38.0,1.0,2.4,1.00,0.32,0.21,0.47,0.38,0.07
＜貝類＞　あさり　缶詰　水煮,73.2,0.9,2.2,0.86,0.34,0.21,0.31,0.23,0.08
＜貝類＞　あさり　缶詰　味付け,67.2,0.9,1.9,0.84,0.24,0.23,0.38,0.29,0.06
＜貝類＞　あわび　くろあわび　生,79.5,0.3,0.8,0.26,0.09,0.06,0.11,0.05,0.06
＜貝類＞　あわび　まだかあわび　生,80.0,0.1,0.4,0.13,0.04,0.03,0.05,0.03,0.02
＜貝類＞　あわび　めがいあわび　生,80.1,0.1,0.3,0.12,0.04,0.03,0.05,0.02,0.02
＜貝類＞　あわび　干し,27.9,0.6,1.6,0.59,0.22,0.14,0.23,0.13,0.10
＜貝類＞　あわび　塩辛,72.5,2.6,3.9,2.47,0.91,0.89,0.67,0.35,0.32
＜貝類＞　あわび　水煮缶詰,77.2,0.3,0.4,0.26,0.07,0.06,0.13,0.06,0.03
＜貝類＞　いがい　生,82.9,0.8,1.6,0.75,0.24,0.12,0.39,0.32,0.07
＜貝類＞　いたやがい　養殖　生,84.9,0.4,0.8,0.42,0.13,0.07,0.21,0.18,0.03
＜貝類＞　エスカルゴ　水煮缶詰,79.9,0.4,1.0,0.34,0.07,0.06,0.21,0.03,0.17
＜貝類＞　かき　養殖　生,85.0,1.3,2.2,1.22,0.41,0.21,0.60,0.52,0.07
＜貝類＞　かき　養殖　水煮,78.7,2.2,3.6,2.12,0.64,0.34,1.13,0.99,0.12
＜貝類＞　かき　養殖　フライ,46.6,10.0,11.1,9.56,1.01,5.45,3.09,1.35,1.73
＜貝類＞　かき　くん製油漬缶詰,51.2,21.7,22.6,20.77,6.18,3.94,10.66,1.09,9.51
＜貝類＞　さざえ　生,78.0,0.1,0.4,0.14,0.05,0.02,0.06,0.03,0.03
＜貝類＞　さざえ　焼き,75.6,0.1,0.4,0.13,0.05,0.02,0.06,0.02,0.03
＜貝類＞　さるぼう　味付け缶詰,66.1,1.3,2.2,1.28,0.37,0.32,0.58,0.48,0.06
＜貝類＞　しじみ　生,86.0,0.6,1.4,0.58,0.24,0.14,0.19,0.14,0.04
＜貝類＞　しじみ　水煮,76.0,1.2,2.7,1.18,0.45,0.27,0.46,0.35,0.08
＜貝類＞　たいらがい　貝柱　生,75.2,0.1,0.2,0.07,0.02,0.01,0.04,0.03,0.01
＜貝類＞　たにし　生,78.8,0.3,1.1,0.33,0.08,0.10,0.14,0.05,0.10
＜貝類＞　つぶ　生,78.2,0.1,0.2,0.08,0.02,0.01,0.05,0.04,0.01
＜貝類＞　とこぶし　生,78.9,0.1,0.4,0.12,0.04,0.03,0.05,0.02,0.02
＜貝類＞　とりがい　斧足　生,78.6,0.1,0.3,0.08,0.04,0.02,0.02,0.01,Tr
＜貝類＞　ばい　生,78.5,0.3,0.6,0.25,0.06,0.04,0.15,0.12,0.03
＜貝類＞　ばかがい　生,84.6,0.2,0.5,0.18,0.06,0.04,0.08,0.06,0.02
＜貝類＞　（はまぐり類）　はまぐり　生,88.8,0.3,0.6,0.28,0.09,0.05,0.13,0.10,0.03
＜貝類＞　（はまぐり類）　はまぐり　水煮,78.6,0.6,1.5,0.59,0.19,0.11,0.29,0.23,0.06
＜貝類＞　（はまぐり類）　はまぐり　焼き,79.8,0.4,1.0,0.40,0.13,0.07,0.19,0.15,0.04
＜貝類＞　（はまぐり類）　はまぐり　つくだ煮,40.1,1.2,2.8,1.20,0.41,0.28,0.51,0.41,0.09
＜貝類＞　（はまぐり類）　ちょうせんはまぐり　生,88.1,0.5,1.0,0.51,0.18,0.10,0.23,0.19,0.04
＜貝類＞　ほたてがい　生,82.3,0.4,0.9,0.42,0.18,0.09,0.15,0.12,0.01
＜貝類＞　ほたてがい　水煮,76.8,0.8,1.9,0.73,0.27,0.15,0.30,0.26,0.02
＜貝類＞　ほたてがい　貝柱　生,78.4,0.1,0.3,0.10,0.03,0.01,0.06,0.05,0.01
＜貝類＞　ほたてがい　貝柱　焼き,67.8,0.1,0.3,0.09,0.02,0.01,0.05,0.05,0.01
＜貝類＞　ほたてがい　貝柱　煮干し,17.1,0.5,1.4,0.45,0.13,0.05,0.26,0.23,0.03
＜貝類＞　ほたてがい　貝柱　水煮缶詰,76.4,0.2,0.6,0.19,0.06,0.03,0.10,0.09,0.01
＜貝類＞　ほっきがい　生,82.1,0.3,1.1,0.30,0.10,0.10,0.10,0.08,0.02
＜貝類＞　みるがい　水管　生,78.9,0.1,0.4,0.12,0.04,0.02,0.05,0.04,0.01
＜えび・かに類＞　（えび類）　あまえび　生,78.2,0.7,1.5,0.71,0.17,0.21,0.34,0.30,0.04
＜えび・かに類＞　（えび類）　アルゼンチンあかえび　生,80.1,0.4,0.7,0.34,0.09,0.09,0.16,0.14,0.02
＜えび・かに類＞　（えび類）　アルゼンチンあかえび　ゆで,75.4,0.9,1.8,0.84,0.21,0.24,0.40,0.34,0.05
＜えび・かに類＞　（えび類）　アルゼンチンあかえび　焼き,78.3,0.6,1.4,0.60,0.15,0.17,0.29,0.25,0.04
＜えび・かに類＞　（えび類）　いせえび　生,76.6,0.1,0.4,0.13,0.03,0.03,0.07,0.05,0.02
＜えび・かに類＞　（えび類）　くるまえび　養殖　生,76.1,0.3,0.6,0.25,0.08,0.05,0.12,0.08,0.04
＜えび・かに類＞　（えび類）　くるまえび　養殖　ゆで,69.3,0.2,0.5,0.21,0.06,0.05,0.11,0.07,0.03
＜えび・かに類＞　（えび類）　くるまえび　養殖　焼き,74.4,0.2,0.4,0.19,0.06,0.04,0.09,0.06,0.03
＜えび・かに類＞　（えび類）　さくらえび　生,78.9,1.2,2.0,1.11,0.34,0.33,0.45,0.37,0.07
＜えび・かに類＞　（えび類）　さくらえび　ゆで,75.6,0.7,1.5,0.66,0.19,0.22,0.25,0.21,0.04
＜えび・かに類＞　（えび類）　さくらえび　素干し,19.4,2.1,4.0,1.97,0.59,0.63,0.75,0.60,0.14
＜えび・かに類＞　（えび類）　さくらえび　煮干し,23.2,1.1,2.5,1.06,0.35,0.33,0.38,0.31,0.06
＜えび・かに類＞　（えび類）　大正えび　生,76.3,0.1,0.3,0.14,0.04,0.04,0.06,0.04,0.01
＜えび・かに類＞　（えび類）　しばえび　生,79.3,0.2,0.4,0.19,0.06,0.04,0.08,0.07,0.01
＜えび・かに類＞　（えび類）　バナメイえび　養殖　生,78.6,0.3,0.6,0.30,0.10,0.05,0.15,0.08,0.07
＜えび・かに類＞　（えび類）　バナメイえび　養殖　天ぷら,62.0,9.6,10.3,9.18,0.79,5.87,2.52,0.80,1.72
＜えび・かに類＞　（えび類）　ブラックタイガー　養殖　生,79.9,0.1,0.3,0.13,0.04,0.03,0.06,0.04,0.02
＜えび・かに類＞　（えび類）　加工品　干しえび,24.2,1.2,2.8,1.17,0.45,0.33,0.40,0.29,0.11
＜えび・かに類＞　（えび類）　加工品　つくだ煮,31.8,1.3,2.2,1.20,0.36,0.35,0.49,0.28,0.20
＜えび・かに類＞　（かに類）　がざみ　生,83.1,0.1,0.3,0.13,0.04,0.04,0.05,0.04,0.01
＜えび・かに類＞　（かに類）　毛がに　生,81.9,0.3,0.5,0.26,0.05,0.06,0.15,0.14,0.01
＜えび・かに類＞　（かに類）　毛がに　ゆで,79.2,0.3,0.5,0.25,0.05,0.06,0.14,0.13,0.01
＜えび・かに類＞　（かに類）　ずわいがに　生,84.0,0.2,0.4,0.22,0.03,0.06,0.13,0.11,0.02
＜えび・かに類＞　（かに類）　ずわいがに　ゆで,82.5,0.3,0.6,0.33,0.05,0.09,0.19,0.16,0.03
＜えび・かに類＞　（かに類）　ずわいがに　水煮缶詰,81.1,0.2,0.4,0.18,0.04,0.05,0.09,0.08,0.02
＜えび・かに類＞　（かに類）　たらばがに　生,84.7,0.5,0.9,0.46,0.09,0.12,0.25,0.22,0.04
＜えび・かに類＞　（かに類）　たらばがに　ゆで,80.0,0.8,1.5,0.79,0.14,0.22,0.42,0.37,0.05
＜えび・かに類＞　（かに類）　たらばがに　水煮缶詰,77.0,0.1,0.3,0.13,0.03,0.04,0.07,0.06,0.01
＜えび・かに類＞　（かに類）　加工品　がん漬,54.7,0.2,0.4,0.21,0.07,0.05,0.09,0.04,0.05
＜いか・たこ類＞　（いか類）　あかいか　生,79.3,0.8,1.5,0.73,0.21,0.07,0.45,0.43,0.01
