食品名,水分,トリアシルグリセロール当量,脂質,脂肪酸総量,飽和脂肪酸,一価不飽和脂肪酸,多価不飽和脂肪酸,n-3系脂肪酸,n-6系脂肪酸
単位,g,g,g,g,g,g,g,g,g
＜魚類＞　（あじ類）　にしまあじ　開き干し　生,68.0,8.8,10.2,8.47,2.87,3.54,2.05,1.83,0.18
＜魚類＞　（あじ類）　にしまあじ　開き干し　焼き,60.1,11.1,12.3,10.62,3.45,4.15,3.03,2.73,0.23
＜魚類＞　（あじ類）　むろあじ　生,67.7,4.8,6.9,4.56,1.79,1.11,1.66,1.45,0.21
＜魚類＞　（あじ類）　むろあじ　焼き,61.9,4.1,6.2,3.97,1.60,0.94,1.42,1.23,0.19
＜魚類＞　（あじ類）　むろあじ　開き干し,67.9,4.7,6.2,4.49,1.60,1.36,1.53,1.31,0.20
＜魚類＞　（あじ類）　むろあじ　くさや,38.6,2.0,3.0,1.94,0.80,0.37,0.77,0.64,0.13
＜魚類＞　あなご　生,72.2,8.0,9.3,7.61,2.26,3.70,1.65,1.42,0.21
＜魚類＞　あなご　蒸し,68.5,10.4,12.7,9.92,3.00,4.99,1.93,1.69,0.24
＜魚類＞　あまご　養殖　生,76.8,2.8,3.6,2.65,0.68,1.03,0.94,0.52,0.42
＜魚類＞　あまだい　生,76.5,2.5,3.6,2.44,0.80,0.81,0.83,0.68,0.13
＜魚類＞　あまだい　水煮,74.2,2.8,4.0,2.66,0.87,0.86,0.94,0.78,0.15
＜魚類＞　あまだい　焼き,73.6,1.9,2.6,1.77,0.58,0.51,0.69,0.57,0.11
＜魚類＞　あゆ　天然　生,77.7,1.9,2.4,1.80,0.65,0.61,0.54,0.46,0.08
＜魚類＞　あゆ　天然　焼き,64.0,3.0,6.8,2.86,0.98,1.02,0.86,0.74,0.13
＜魚類＞　あゆ　天然　内臓　生,68.6,14.2,17.5,13.52,5.90,4.24,3.37,2.54,0.41
＜魚類＞　あゆ　天然　内臓　焼き,58.6,7.5,10.1,7.13,3.26,2.50,1.37,0.96,0.19
＜魚類＞　あゆ　養殖　生,72.0,6.6,7.9,6.32,2.44,2.48,1.40,0.82,0.58
＜魚類＞　あゆ　養殖　焼き,59.3,9.6,15.1,9.20,3.43,3.78,1.98,1.16,0.82
＜魚類＞　あゆ　養殖　内臓　生,36.6,46.8,55.0,44.73,17.44,17.35,9.95,5.19,4.41
＜魚類＞　あゆ　養殖　内臓　焼き,31.5,45.6,52.3,43.63,16.39,16.71,10.53,5.80,4.39
＜魚類＞　あゆ　うるか,59.6,10.3,13.1,9.88,3.71,3.95,2.22,0.89,1.29
＜魚類＞　アラスカめぬけ　生,78.4,2.6,3.4,2.53,0.49,1.46,0.59,0.52,0.07
＜魚類＞　あんこう　生,85.4,0.1,0.2,0.08,0.02,0.02,0.04,0.03,0.01
＜魚類＞　あんこう　きも　生,45.1,36.9,41.9,35.31,9.29,14.15,11.88,10.00,1.63
＜魚類＞　いかなご　生,74.2,3.9,5.5,3.76,1.13,1.03,1.61,1.41,0.11
＜魚類＞　いかなご　煮干し,38.0,3.1,6.1,2.96,0.86,0.58,1.53,1.39,0.07
＜魚類＞　いかなご　つくだ煮,26.9,2.4,4.6,2.33,0.66,0.47,1.19,1.09,0.06
＜魚類＞　いかなご　あめ煮,28.1,1.6,3.7,1.51,0.48,0.34,0.70,0.63,0.03
＜魚類＞　いさき　生,75.8,4.8,5.7,4.57,1.63,1.29,1.65,1.47,0.18
＜魚類＞　いしだい　生,71.6,5.7,7.8,5.45,1.89,2.14,1.41,1.13,0.28
＜魚類＞　いとよりだい　生,78.8,1.0,1.7,1.00,0.32,0.19,0.49,0.38,0.11
＜魚類＞　いとよりだい　すり身,76.9,0.3,0.4,0.27,0.11,0.05,0.10,0.08,0.02
＜魚類＞　いぼだい　生,74.0,6.4,8.5,6.14,2.24,2.68,1.22,0.96,0.26
＜魚類＞　（いわし類）　うるめいわし　生,71.7,3.6,4.8,3.47,1.39,0.94,1.14,1.04,0.10
＜魚類＞　（いわし類）　うるめいわし　丸干し,40.1,3.6,5.1,3.42,1.40,0.74,1.27,1.09,0.13
＜魚類＞　（いわし類）　かたくちいわし　生,68.2,9.7,12.1,9.22,3.79,2.65,2.78,2.24,0.30
＜魚類＞　（いわし類）　かたくちいわし　煮干し,15.7,2.8,6.2,2.71,1.27,0.61,0.83,0.66,0.10
＜魚類＞　（いわし類）　かたくちいわし　田作り,14.9,2.8,5.7,2.65,1.18,0.45,1.01,0.90,0.10
＜魚類＞　（いわし類）　まいわし　生,68.9,7.3,9.2,6.94,2.55,1.86,2.53,2.10,0.28
＜魚類＞　（いわし類）　まいわし　水煮,61.7,6.8,8.7,6.54,2.37,1.75,2.42,2.02,0.27
＜魚類＞　（いわし類）　まいわし　焼き,57.8,7.3,9.4,7.02,2.53,1.83,2.66,2.23,0.29
＜魚類＞　（いわし類）　まいわし　フライ,37.8,28.0,30.3,26.78,3.90,14.66,8.22,3.93,4.16
＜魚類＞　（いわし類）　まいわし　塩いわし,66.3,7.2,9.6,6.88,2.43,1.64,2.80,2.39,0.22
＜魚類＞　（いわし類）　まいわし　生干し,59.6,13.2,16.0,12.59,5.02,3.65,3.93,3.12,0.36
＜魚類＞　（いわし類）　まいわし　丸干し,54.6,4.3,5.5,4.10,1.48,1.11,1.50,1.36,0.14
＜魚類＞　（いわし類）　めざし　生,59.0,11.0,18.9,10.56,4.33,3.05,3.17,2.85,0.32
＜魚類＞　（いわし類）　めざし　焼き,56.2,8.4,15.0,8.04,3.40,2.38,2.26,2.02,0.24
＜魚類＞　（いわし類）　しらす　生,81.8,0.8,1.3,0.79,0.28,0.09,0.43,0.38,0.04
＜魚類＞　（いわし類）　しらす　釜揚げしらす,77.4,(1.1),1.7,(1.01),(0.35),(0.12),(0.54),(0.49),(0.05)
＜魚類＞　（いわし類）　しらす干し　微乾燥品,67.5,1.1,2.1,1.08,0.34,0.14,0.60,0.56,0.04
＜魚類＞　（いわし類）　しらす干し　半乾燥品,46.0,1.8,3.5,1.69,0.54,0.20,0.95,0.88,0.07
＜魚類＞　（いわし類）　たたみいわし,10.7,4.5,5.6,4.29,1.53,1.41,1.35,1.14,0.20
＜魚類＞　（いわし類）　みりん干し　かたくちいわし,18.5,5.0,7.0,4.77,1.40,1.34,2.03,1.07,0.94
＜魚類＞　（いわし類）　みりん干し　まいわし,33.5,12.1,15.7,11.56,3.64,3.22,4.70,3.34,1.20
＜魚類＞　（いわし類）　缶詰　水煮,66.3,8.5,10.6,8.10,2.71,2.22,3.17,2.92,0.24
＜魚類＞　（いわし類）　缶詰　味付け,59.1,10.3,11.9,9.81,3.56,2.55,3.70,3.17,0.45
＜魚類＞　（いわし類）　缶詰　トマト漬,68.1,9.6,10.8,9.23,3.32,2.51,3.40,2.89,0.43
＜魚類＞　（いわし類）　缶詰　油漬,46.2,29.1,30.7,27.84,7.05,6.83,13.96,2.45,11.45
