食品名,廃棄率,エネルギー,水分,アミノ酸組成によるたんぱく質,たんぱく質,脂肪酸のトリアシルグリセロール当量,コレステロール,脂質,利用可能炭水化物（単糖当量）,利用可能炭水化物（質量計）,差引き法による利用可能炭水化物,食物繊維,糖アルコール,炭水化物,有機酸,灰分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,αカロテン,βカロテン,βクリプトキサンチン,βカロテン当量,ビタミンA,ビタミンD,ビタミンE,βトコフェロール,γトコフェロール,δトコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ナイアシン当量,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,アルコール,食塩相当量
単位,%,kcal,g,g,g,g,mg,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,mg,mg,mg,mg,μg,mg,mg,mg,mg,mg,μg,μg,mg,μg,mg,g,g
＜魚類＞　めばる　生,55,100,77.2,15.6,18.1,2.8,75,3.5,(Tr),(Tr),3.2,(0),-,Tr,-,1.2,75,350,80,27,200,0.4,0.4,0.05,-,-,-,-,-,11,-,-,-,(0),11,1.0,1.5,0,0,0,(0),0.07,0.17,1.6,5.0,0.11,1.5,5,0.37,-,2,-,0.2
＜魚類＞　メルルーサ　生,5,73,81.1,14.6,17.0,0.5,45,0.6,(Tr),(Tr),2.5,(0),-,Tr,-,1.3,140,320,12,38,150,0.2,0.4,0.02,0.01,-,-,-,-,5,-,-,-,(0),5,1.0,1.3,0,0,0,(0),0.09,0.04,1.0,4.1,0.07,0.8,5,0.32,-,Tr,-,0.4
＜魚類＞　やつめうなぎ　生,55,245,61.5,-,15.8,18.8,150,21.8,(0.2),(0.2),3.2,(0),-,0.2,-,0.7,49,150,7,15,180,2.0,1.6,0.15,0.03,-,-,-,-,8200,0,0,0,0,8200,3.0,3.8,0,0,0,(0),0.25,0.85,3.0,5.6,0.20,4.9,19,1.18,-,2,-,0.1
＜魚類＞　やつめうなぎ　干しやつめ,20,449,14.3,-,50.3,24.3,480,31.2,(0.5),(0.5),7.4,(0),-,0.5,-,3.7,130,650,16,49,240,32.0,5.9,1.80,0.10,-,-,-,-,1900,0,0,0,0,1900,12.0,2.4,0,0,0,(0),0.33,1.69,7.0,15.0,0.14,55.0,100,5.76,-,(0),-,0.3
＜魚類＞　やまめ　養殖　生,45,110,75.6,(15.1),18.4,3.7,65,4.3,(0.3),(0.3),4.2,(0),-,0.3,-,1.4,50,420,85,28,280,0.5,0.8,0.04,0.01,-,-,-,-,15,-,-,-,Tr,15,8.0,2.2,0,0,0,(0),0.15,0.16,3.8,(6.9),0.22,6.6,13,1.48,-,3,-,0.1
＜魚類＞　わかさぎ　生,0,71,81.8,11.8,14.4,1.2,210,1.7,(0.1),(0.1),3.1,(0),-,0.1,-,2.0,200,120,450,25,350,0.9,2.0,0.19,0.13,29,22,1,1,99,0,2,-,2,99,2.0,0.7,0,Tr,0,Tr,0.01,0.14,1.6,4.0,0.17,7.9,21,0.51,4.0,1,-,0.5
＜魚類＞　わかさぎ　つくだ煮,0,308,19.3,(23.6),28.7,3.6,450,5.5,-,-,45.2,(0),-,38.2,-,8.3,1900,480,970,69,780,2.6,4.4,0.11,1.74,-,-,-,-,460,0,15,34,32,460,8.0,4.2,0,0,0,(0),0.24,0.32,3.4,(8.3),0.06,9.4,59,0.77,-,Tr,-,4.8
＜魚類＞　わかさぎ　あめ煮,0,301,21.0,(21.6),26.3,2.8,400,5.1,-,-,47.4,(0),-,40.4,-,7.2,1600,410,960,66,740,2.1,5.2,0.08,2.29,-,-,-,-,420,0,16,75,53,420,9.0,3.6,0,0,0,(0),0.28,0.35,3.6,(8.1),0.06,11.0,52,0,-,0,-,4.1
＜貝類＞　あかがい　生,75,70,80.4,10.6,13.5,0.1,46,0.3,(3.5),(3.2),6.6,(0),-,3.5,-,2.3,300,290,40,55,140,5.0,1.5,0.06,-,-,-,-,-,30,-,-,-,60,35,(0),0.9,0,0,0,1,0.20,0.20,2.5,4.6,0.10,59.0,20,1.02,-,2,-,0.8
＜貝類＞　あげまき　生,35,44,87.1,(5.9),8.1,0.3,38,0.6,(2.0),(1.8),4.5,(0),-,2.0,-,2.2,600,120,66,49,120,4.1,1.5,0.40,0.20,-,-,-,-,20,0,85,-,85,27,1.0,0.8,0,0,0,(0),0.30,0.14,1.3,(2.5),0.04,59.0,11,0.37,-,1,-,1.5
