食品名,廃棄率,エネルギー,水分,アミノ酸組成によるたんぱく質,たんぱく質,脂肪酸のトリアシルグリセロール当量,コレステロール,脂質,利用可能炭水化物（単糖当量）,利用可能炭水化物（質量計）,差引き法による利用可能炭水化物,食物繊維,糖アルコール,炭水化物,有機酸,灰分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,αカロテン,βカロテン,βクリプトキサンチン,βカロテン当量,ビタミンA,ビタミンD,ビタミンE,βトコフェロール,γトコフェロール,δトコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ナイアシン当量,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,アルコール,食塩相当量
単位,%,kcal,g,g,g,g,mg,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,mg,mg,mg,mg,μg,mg,mg,mg,mg,mg,μg,μg,mg,μg,mg,g,g
だいず　［全粒・全粒製品］　全粒　青大豆　国産　乾,0,354,12.5,31.4,33.5,16.9,Tr,19.3,8.5,8.1,12.9,20.1,-,30.1,1.6,4.6,3,1700,160,200,600,6.5,3.9,0.96,2.11,Tr,9,1,450,0,1,8,1,9,1,0,2.3,0.8,12.0,7.0,36,0.74,0.24,2.4,11.0,0.55,0,260,0.83,24.0,2,-,0
だいず　［全粒・全粒製品］　全粒　青大豆　国産　ゆで,0,145,65.5,13.8,15.0,7.5,-,8.2,1.6,1.5,3.5,8.0,-,9.9,0.3,1.4,1,440,69,66,230,1.8,1.5,0.39,0.93,0,3,0,85,-,1,4,1,5,Tr,-,1.5,0.4,7.1,3.6,18,0.13,0.05,0.4,4.0,0.12,-,36,0.08,9.9,0,-,0
だいず　［全粒・全粒製品］　全粒　黄大豆　国産　乾,0,372,12.4,32.9,33.8,18.6,Tr,19.7,7.0,6.7,8.3,21.5,-,29.5,1.7,4.7,1,1900,180,220,490,6.8,3.1,1.07,2.27,0,5,3,350,(0),0,7,1,7,1,(0),2.3,0.9,13.0,8.6,18,0.71,0.26,2.0,10.0,0.51,(0),260,1.36,28.0,3,-,0
だいず　［全粒・全粒製品］　全粒　黄大豆　国産　ゆで,0,163,65.4,14.1,14.8,(9.2),(Tr),9.8,1.6,1.5,0.8,8.5,-,8.4,0.4,1.6,1,530,79,100,190,2.2,1.9,0.23,1.01,0,2,Tr,77,(0),0,3,0,3,0,(0),1.6,0.8,4.2,3.2,7,0.17,0.08,0.4,4.0,0.10,(0),41,0.26,9.8,Tr,-,0
だいず　［全粒・全粒製品］　全粒　黄大豆　米国産　乾,0,402,11.7,31.0,33.0,(19.9),Tr,21.7,7.0,6.6,16.7,15.9,-,28.8,-,4.8,1,1800,230,230,480,8.6,4.5,0.97,-,2,28,1,300,(0),0,7,0,7,1,(0),1.7,0.4,15.0,5.6,34,0.88,0.30,2.1,10.0,0.46,(0),220,1.49,34.0,Tr,-,0
だいず　［全粒・全粒製品］　全粒　黄大豆　中国産　乾,0,391,12.5,31.2,32.8,(17.9),Tr,19.5,7.7,7.3,18.4,15.6,-,30.8,-,4.4,1,1800,170,220,460,8.9,3.9,1.01,-,0,2,1,41,(0),0,9,0,9,1,(0),2.1,0.7,19.0,8.1,34,0.84,0.30,2.2,10.0,0.59,(0),260,1.64,33.0,Tr,-,0
だいず　［全粒・全粒製品］　全粒　黄大豆　ブラジル産　乾,0,414,8.3,(30.9),33.6,20.2,(Tr),22.6,5.2,5.0,18.6,17.3,-,30.7,-,4.8,2,1800,250,250,580,9.0,3.5,1.11,2.54,0,1,1,660,(0),0,15,0,15,1,(0),4.8,0.7,20.0,6.4,36,0.77,0.29,2.2,(11.0),0.45,(0),220,1.68,33.0,Tr,-,0
だいず　［全粒・全粒製品］　全粒　黒大豆　国産　乾,0,349,12.7,31.5,33.9,16.5,Tr,18.8,7.7,7.3,11.3,20.6,-,28.9,1.6,4.6,1,1800,140,200,620,6.8,3.7,0.96,2.24,0,3,2,570,0,1,24,3,26,2,0,3.1,1.7,14.0,10.0,36,0.73,0.23,2.5,11.0,0.50,0,350,0.98,26.0,3,-,0
だいず　［全粒・全粒製品］　全粒　黒大豆　国産　ゆで,0,155,65.1,13.8,14.7,8.5,-,8.6,1.7,1.6,2.6,7.9,-,9.8,0.3,1.4,Tr,480,55,64,220,2.6,1.4,0.33,0.98,0,1,0,170,-,Tr,11,1,11,1,-,1.8,0.8,7.2,4.8,15,0.14,0.05,0.4,4.0,0.12,-,43,0.17,9.3,Tr,-,0
だいず　［全粒・全粒製品］　いり大豆　青大豆,0,425,2.7,35.6,37.7,19.1,(Tr),20.7,9.5,9.0,17.5,18.4,-,33.9,1.8,5.0,4,2000,160,250,650,6.7,4.2,1.29,2.90,1,5,2,800,(0),1,9,2,10,1,(0),1.3,0.5,17.0,11.0,38,0.15,0.27,2.2,11.0,0.45,(0),250,0.57,25.0,1,-,0
だいず　［全粒・全粒製品］　いり大豆　黄大豆,0,429,2.5,35.0,37.5,20.2,(Tr),21.6,7.5,7.2,15.9,19.4,-,33.3,1.8,5.1,5,2000,160,240,710,7.6,4.2,1.31,3.24,1,5,5,290,(0),1,5,2,7,1,(0),2.2,1.1,14.0,9.8,38,0.14,0.26,2.7,12.0,0.39,(0),260,0.71,27.0,1,-,0
だいず　［全粒・全粒製品］　いり大豆　黒大豆,0,431,2.4,33.6,36.4,20.3,(Tr),22.0,8.8,8.3,17.9,19.2,-,34.3,1.6,5.0,4,2100,120,220,640,7.2,3.7,1.06,2.37,1,3,12,240,(0),2,12,3,14,1,(0),3.1,1.3,16.0,11.0,32,0.12,0.27,2.5,11.0,0.41,(0),280,0.68,27.0,1,-,0
だいず　［全粒・全粒製品］　水煮缶詰　黄大豆,0,124,71.7,12.5,12.9,(6.3),(Tr),6.7,0.9,0.8,1.7,6.8,-,7.7,-,1.0,210,250,100,55,170,1.8,1.1,0.28,0.84,-,-,-,-,(0),0,0,0,0,(0),(0),0.5,0.3,6.2,5.6,5,0.01,0.02,0.1,3.3,0.01,(0),11,0,-,Tr,-,0.5
だいず　［全粒・全粒製品］　蒸し大豆　黄大豆,0,186,57.4,(15.8),16.6,(9.2),0,9.8,-,-,4.5,10.6,-,13.8,-,2.4,230,810,75,110,290,2.8,1.8,0.51,1.33,-,-,-,-,0,0,2,1,3,0,0,0.8,0.3,8.0,5.3,11,0.15,0.10,0.9,(4.9),0.18,0,96,0.34,-,0,-,0.6
だいず　［全粒・全粒製品］　きな粉　青大豆　全粒大豆,0,424,5.9,34.9,37.0,20.9,(Tr),22.8,8.7,8.2,14.7,16.9,-,29.3,1.8,5.0,1,2000,160,240,690,7.9,4.5,1.32,2.76,1,3,5,450,(0),4,50,3,53,4,(0),2.4,0.7,15.0,9.0,57,0.29,0.29,2.2,11.0,0.51,(0),250,0.91,29.0,1,-,0
だいず　［全粒・全粒製品］　きな粉　青大豆　脱皮大豆,0,418,5.2,34.6,36.6,23.0,1,24.6,6.8,6.5,9.2,20.8,-,28.3,1.9,5.3,1,2100,190,220,700,6.7,4.1,1.19,2.63,Tr,7,3,380,(0),9,66,1,71,6,(0),7.5,1.4,19.0,6.1,81,0.48,0.27,2.1,11.0,0.56,(0),210,0.93,31.0,0,-,0
だいず　［全粒・全粒製品］　きな粉　黄大豆　全粒大豆,0,451,4.0,34.3,36.7,24.7,(Tr),25.7,7.1,6.8,13.9,18.1,-,28.5,-,5.1,1,2000,190,260,660,8.0,4.1,1.12,2.75,Tr,5,12,380,(0),0,3,1,4,Tr,(0),1.7,1.2,11.0,8.6,27,0.07,0.24,2.2,11.0,0.52,(0),220,1.01,31.0,1,-,0
だいず　［全粒・全粒製品］　きな粉　黄大豆　脱皮大豆,0,456,2.6,34.6,37.5,23.7,(Tr),25.1,6.8,6.5,18.4,15.3,-,29.5,-,5.4,2,2000,180,250,680,6.2,4.0,1.23,2.32,Tr,5,7,370,(0),0,6,1,6,1,(0),1.9,0.8,15.0,8.6,42,0.07,0.22,2.1,11.0,0.30,(0),250,0.74,33.0,0,-,0
だいず　［全粒・全粒製品］　きな粉（砂糖入り）　青きな粉,0,392,(3.3),(17.5),(18.5),(10.4),0,(11.4),(56.4),(53.8),(57.9),(8.4),-,(64.3),-,(2.5),(1),(980),(80),(120),(340),(3.9),(2.3),(0.67),(1.38),0,(2),(2),(230),0,(2),(25),(1),(27),(2),0,(1.2),(0.3),(7.7),(4.5),(28),(0.14),(0.14),(1.1),(4.2),(0.26),0,(130),(0.46),(15.0),(Tr),-,0
だいず　［全粒・全粒製品］　きな粉（砂糖入り）　きな粉,0,406,(2.3),(17.2),(18.3),(12.3),0,(12.9),(55.7),(51.4),(56.6),(9.0),-,(63.9),-,(2.6),(1),(1000),(97),(130),(330),(4.0),(2.0),(0.57),(1.38),0,(2),(6),(190),0,0,(2),(Tr),(2),0,0,(0.9),(0.6),(5.7),(4.3),(13),(0.04),(0.12),(1.1),(4.2),(0.26),0,(110),(0.51),(16.0),0,-,0
だいず　［全粒・全粒製品］　大豆はいが,0,404,3.9,-,37.8,-,(0),14.7,-,-,20.7,18.8,-,39.5,-,4.1,0,1400,100,200,720,12.0,6.0,1.13,2.86,-,-,-,-,(0),(0),19,(0),19,2,(0),19.0,1.3,10.0,1.6,190,0.03,0.73,3.4,9.7,0.56,(0),460,0.59,-,0,-,0
だいず　［全粒・全粒製品］　ぶどう豆,0,265,36.0,13.5,14.1,(8.9),(Tr),9.4,31.5,30.0,31.8,6.3,-,37.0,-,3.5,620,330,80,60,200,4.2,1.1,0.39,-,-,-,-,-,(0),-,-,-,(0),(0),(0),2.4,1.4,6.3,4.2,10,0.09,0.05,0.4,3.8,0.07,(0),48,0.28,-,Tr,-,1.6
だいず　［豆腐・油揚げ類］　木綿豆腐,0,73,85.9,6.7,7.0,4.5,0,4.9,0.8,0.8,0.9,1.1,-,1.5,0.2,0.7,9,110,93,57,88,1.5,0.6,0.16,0.41,6,4,4,44,(0),0,0,0,0,0,(0),0.2,Tr,2.9,1.3,6,0.09,0.04,0.2,1.9,0.05,(0),12,0.02,4.1,0,-,0
だいず　［豆腐・油揚げ類］　木綿豆腐　（凝固剤：塩化マグネシウム）,0,73,85.9,6.7,7.0,4.5,0,4.9,0.8,0.8,0.9,1.1,-,1.5,0.2,0.7,21,110,40,76,88,1.5,0.6,0.16,0.41,6,4,4,44,(0),0,0,0,0,0,(0),0.2,Tr,2.9,1.3,6,0.09,0.04,0.2,1.9,0.05,(0),12,0.02,4.1,0,-,0.1
だいず　［豆腐・油揚げ類］　木綿豆腐　（凝固剤：硫酸カルシウム）,0,73,85.9,6.7,7.0,4.5,0,4.9,0.8,0.8,0.9,1.1,-,1.5,0.2,0.7,3,110,150,34,88,1.5,0.6,0.16,0.41,6,4,4,44,(0),0,0,0,0,0,(0),0.2,Tr,2.9,1.3,6,0.09,0.04,0.2,1.9,0.05,(0),12,0.02,4.1,0,-,0
だいず　［豆腐・油揚げ類］　絹ごし豆腐,0,56,88.5,5.3,5.3,(3.2),(0),3.5,1.0,0.9,1.1,0.9,-,2.0,0.2,0.7,11,150,75,50,68,1.2,0.5,0.16,0.34,1,1,1,69,(0),0,0,0,0,0,(0),0.1,Tr,2.3,1.0,9,0.11,0.04,0.2,1.6,0.06,(0),12,0.09,3.5,0,-,0
だいず　［豆腐・油揚げ類］　絹ごし豆腐　（凝固剤：塩化マグネシウム）,0,56,88.5,5.3,5.3,3.2,(0),3.5,1.0,0.9,1.1,0.9,-,2.0,0.2,0.7,19,150,30,63,68,1.2,0.5,0.16,0.34,1,1,1,69,(0),0,0,0,0,0,(0),0.1,Tr,2.3,1.0,9,0.11,0.04,0.2,1.6,0.06,(0),12,0.09,3.5,0,-,0
だいず　［豆腐・油揚げ類］　絹ごし豆腐　（凝固剤：硫酸カルシウム）,0,56,88.5,5.3,5.3,3.2,(0),3.5,1.0,0.9,1.1,0.9,-,2.0,0.2,0.7,7,150,120,33,68,1.2,0.5,0.16,0.34,1,1,1,69,(0),0,0,0,0,0,(0),0.1,Tr,2.3,1.0,9,0.11,0.04,0.2,1.6,0.06,(0),12,0.09,3.5,0,-,0
だいず　［豆腐・油揚げ類］　ソフト豆腐,0,56,88.9,5.0,5.1,(3.0),(0),3.3,0.4,0.3,1.9,0.4,-,2.0,-,0.7,7,150,91,32,82,0.7,0.5,0.16,0.33,-,-,-,-,(0),-,-,-,(0),(0),(0),0.1,0.1,2.2,1.0,10,0.07,0.03,0.1,1.4,0.07,(0),10,0.10,-,Tr,-,0
だいず　［豆腐・油揚げ類］　充てん豆腐,0,56,88.6,5.1,5.0,(2.8),(0),3.1,0.8,0.8,2.4,0.3,-,2.5,-,0.8,10,200,31,68,83,0.8,0.6,0.18,0.43,-,-,-,-,(0),-,-,-,0,(0),(0),0.3,0.1,2.4,0.8,11,0.15,0.05,0.3,1.6,0.09,(0),23,0.12,-,Tr,-,0
だいず　［豆腐・油揚げ類］　沖縄豆腐,0,99,81.8,(8.8),9.1,(6.6),(0),7.2,(1.0),(1.0),1.1,0.5,-,0.7,-,1.2,170,180,120,66,130,1.7,1.0,0.19,0.93,-,-,-,-,(0),-,-,-,(0),(0),(0),0.4,0.1,4.8,1.8,16,0.10,0.04,0.2,(2.5),0.06,(0),14,Tr,-,Tr,-,0.4
だいず　［豆腐・油揚げ類］　ゆし豆腐,0,47,90.0,(4.1),4.3,(2.6),(0),2.8,(0.6),(0.5),1.8,0.3,-,1.7,-,1.2,240,210,36,43,71,0.7,0.5,0.14,0.30,-,-,-,-,(0),-,-,-,0,(0),(0),0.1,0.1,2.0,1.2,9,0.10,0.04,0.2,(1.3),0.07,0,13,0.20,-,Tr,-,0.6
だいず　［豆腐・油揚げ類］　焼き豆腐,0,82,84.8,7.8,7.8,(5.2),(0),5.7,0.7,0.6,1.0,0.5,-,1.0,-,0.7,4,90,150,37,110,1.6,0.8,0.16,0.60,-,-,-,-,(0),-,-,-,(0),(0),(0),0.2,0.1,3.5,1.5,14,0.07,0.03,0.1,2.2,0.05,(0),12,0.06,-,Tr,-,0
だいず　［豆腐・油揚げ類］　生揚げ,0,143,75.9,10.3,10.7,(10.7),Tr,11.3,1.2,1.1,(1.1),0.8,-,0.9,-,1.2,3,120,240,51,150,2.6,1.1,0.23,0.78,1,2,2,87,(0),Tr,2,Tr,2,Tr,(0),0.8,0.1,5.6,2.0,26,0.07,0.03,0.1,2.8,0.08,(0),28,0.15,5.5,0,-,0
だいず　［豆腐・油揚げ類］　絹生揚げ,0,103,80.5,7.6,7.9,7.2,-,7.7,1.2,1.2,1.9,1.5,-,2.9,0.3,1.1,17,260,34,120,130,1.2,0.8,0.23,0.48,1,4,2,69,-,0,1,Tr,1,0,-,0.7,0.1,3.6,1.7,11,0.12,0.04,0.5,2.4,0.09,-,16,0.13,6.2,0,-,0
だいず　［豆腐・油揚げ類］　油揚げ　生,0,377,39.9,23.0,23.4,31.2,(Tr),34.4,0.5,0.5,2.8,1.3,-,0.4,-,1.9,4,86,310,150,350,3.2,2.5,0.22,1.55,1,8,5,97,(0),-,-,-,(0),(0),(0),1.3,0.2,12.0,5.6,67,0.06,0.04,0.2,6.2,0.07,(0),18,0.07,7.1,0,-,0
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　生,0,266,56.9,17.9,18.2,21.3,(Tr),23.4,0.3,0.3,1.6,0.9,-,Tr,-,1.4,2,51,230,110,280,2.5,2.1,0.16,1.22,Tr,6,4,68,(0),-,-,-,(0),(0),(0),0.9,0.2,9.6,4.5,48,0.04,0.02,0.1,4.8,0.04,(0),12,0.04,4.8,0,-,0
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　ゆで,0,164,72.6,12.3,12.4,12.5,(Tr),13.8,0.1,0.1,1.1,0.6,-,0.3,-,0.9,Tr,12,140,59,180,1.6,1.4,0.07,0.73,0,4,3,22,(0),-,-,-,(0),(0),(0),0.5,0.1,5.0,2.4,26,0.01,0.01,0,3.2,0.01,(0),3,0.02,3.3,0,-,0
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　焼き,0,361,40.2,24.6,24.9,28.8,(Tr),32.2,0.4,0.4,3.2,1.2,-,0.7,-,2.0,4,74,320,150,380,3.4,2.7,0.22,1.65,Tr,8,6,92,(0),-,-,-,(0),(0),(0),1.1,0.3,12.0,5.8,65,0.04,0.03,0.2,6.6,0.06,(0),14,0.04,6.8,0,-,0
だいず　［豆腐・油揚げ類］　油揚げ　甘煮,0,231,54.9,10.4,11.2,11.8,0,13.0,17.7,17.2,20.5,0.5,-,19.1,0.1,1.7,460,61,120,51,150,1.5,1.1,0.08,0.16,Tr,3,3,25,0,0,2,0,2,0,(0),0.6,0.1,5.4,2.2,22,0.01,0.02,0.1,2.6,0.02,0,3,0.03,3.7,0,-,1.2
だいず　［豆腐・油揚げ類］　がんもどき,0,223,63.5,15.2,15.3,(16.8),Tr,17.8,2.2,2.0,1.3,1.4,-,1.6,-,1.8,190,80,270,98,200,3.6,1.6,0.22,1.30,32,4,8,60,(0),-,-,-,(0),(0),(0),1.5,0.2,8.1,2.5,43,0.03,0.04,0.2,4.0,0.08,(0),21,0.20,7.6,Tr,-,0.5
だいず　［豆腐・油揚げ類］　凍り豆腐　乾,0,496,7.2,49.7,50.5,32.3,(0),34.1,0.2,0.2,4.3,2.5,-,4.2,-,4.0,440,34,630,140,820,7.5,5.2,0.57,4.32,1,19,5,67,(0),1,7,3,9,1,(0),1.9,0.8,20.0,11.0,60,0.02,0.02,Tr,13.0,0.02,0.1,6,0.10,21.0,0,-,1.1
だいず　［豆腐・油揚げ類］　凍り豆腐　水煮,0,104,79.6,10.8,10.7,6.7,(0),7.3,0.1,0.1,1.1,0.5,-,1.1,-,1.3,260,3,150,29,180,1.7,1.2,0.09,1.02,Tr,5,1,3,(0),0,1,1,2,0,(0),0.3,0.2,4.0,2.2,13,0,0,0,2.7,0,(0),0,0.02,3.1,0,-,0.7
だいず　［豆腐・油揚げ類］　豆腐よう,0,183,60.6,(9.0),9.5,7.5,(0),8.3,-,-,19.6,0.8,-,19.1,-,2.5,760,38,160,52,190,1.7,1.7,0.22,1.70,1,4,3,45,(0),-,-,-,2,Tr,(0),0.6,0.2,7.0,3.1,18,0.02,0.07,0.5,(2.8),0.05,Tr,7,0.40,4.2,Tr,-,1.9
だいず　［豆腐・油揚げ類］　豆腐竹輪　蒸し,0,121,71.6,(13.6),14.9,3.7,12,4.4,-,-,7.9,0.8,-,6.7,-,2.4,740,140,70,65,150,2.0,1.0,0.13,0.58,63,14,4,43,3,-,-,-,(0),3,(0),0.4,0.1,2.8,0.5,12,0.12,0.08,0.5,(3.7),0.04,0.6,11,0.17,4.2,Tr,-,1.9
だいず　［豆腐・油揚げ類］　豆腐竹輪　焼き,0,133,68.8,(14.4),16.1,4.1,13,4.9,-,-,9.3,0.7,-,7.5,-,2.7,900,150,100,73,170,2.3,1.0,0.14,0.61,-,-,-,-,(0),-,-,-,(0),(0),(0),0.4,0.1,3.0,0.6,10,0.13,0.08,0.5,(3.8),0.04,0.8,17,0.21,-,Tr,-,2.3
だいず　［豆腐・油揚げ類］　ろくじょう豆腐,0,332,26.5,(33.5),34.7,(19.6),(0),21.5,-,-,3.7,3.2,-,3.8,-,13.5,4300,430,660,110,590,6.1,4.6,0.73,3.83,-,-,-,-,(0),(0),3,(0),3,0,(0),2.5,0.5,15.0,5.1,41,0.10,0.06,0.5,(9.1),0.11,(0),23,0.14,-,0,-,11.0
だいず　［納豆類］　糸引き納豆,0,184,59.5,14.5,16.5,(9.7),Tr,10.0,0.3,0.3,(4.8),9.5,-,12.1,-,1.9,1,690,91,100,220,3.3,1.9,0.6 ,1.39,Tr,16,1,290,(0),Tr,4,1,4,Tr,(0),0.5,0.2,5.9,3.3,870,0.13,0.30 ,0.6,4.6,0.24,Tr,130,3.63,18.2,3,-,0
だいず　［納豆類］　挽きわり納豆,0,185,60.9,15.1,16.6,(9.7),(0),10.0,0.2,0.2,6.4,5.9,-,10.5,-,2.0,2,700,59,88,250,2.6,1.3,0.43,1.00,-,-,-,-,(0),0,0,0,0,(0),(0),0.8,0.3,9.0,5.4,930,0.14,0.36,0.9,5.0,0.29,0,110,4.28,-,Tr,-,0
だいず　［納豆類］　五斗納豆,0,214,45.8,-,15.3,6.9,(0),8.1,-,-,20.3,4.9,-,24.0,-,6.8,2300,430,49,61,190,2.2,1.1,0.31,0.75,1,8,2,75,(0),-,-,-,(0),(0),(0),0.6,0.2,6.2,1.7,590,0.08,0.35,1.1,3.7,0.19,-,110,2.90,15.0,Tr,-,5.8
だいず　［納豆類］　塩納豆,0,137,64.0 ,7.8,8.3,3.6,-,4.4,12.9,12.6,15.3,6.0,-,20.2,0.2,3.2,860,410,48,61,150,1.3,1.0 ,0.25,0.72,1800,1,1,73,-,0,2,Tr,2,Tr,-,0.5,0.1,4.6,1.6,220,0.06,0.11,0.5,2.6,0.13,Tr,36,1.30 ,8.7,0,-,2.2
だいず　［納豆類］　寺納豆,0,248,24.4,-,18.6,6.1,(0),8.1,-,-,25.9,7.6,-,31.5,-,17.4,5600,1000,110,140,330,5.9,3.8,0.80,1.70,1,14,2,110,(0),-,-,-,(0),(0),(0),0.9,0.3,7.6,2.6,190,0.04,0.35,4.1,7.2,0.17,-,39,0.81,19.0,Tr,-,14.2
だいず　［納豆類］　干し納豆,0,357,12.0 ,30.2,33.0 ,15.3,-,16.8,2.3,2.2,15.3,17.2,-,29.3,1.2,8.9,2000,1600,190,200,570,5.8,3.4,1.03,2.31,5,5,2,300,-,Tr,6,1,7,1,-,2.6,0.7,18.5,8.9,300,0.11,0.22,1.5,9.4,0.32,Tr,150,2.64,31.2,0,-,5.1
だいず　［その他］　おから　生,0,88,75.5,5.4,6.1,(3.4),(0),3.6,0.6,0.5,3.2,11.5,-,13.8,-,1.0,5,350,81,40,99,1.3,0.6,0.14,0.40,1,1,1,45,(0),0,0,0,0,(0),(0),0.4,0.1,2.8,0.4,8,0.11,0.03,0.2,1.6,0.06,(0),14,0.31,4.1,Tr,-,0
だいず　［その他］　おから　乾燥,0,333,7.1,(20.2),23.1,(12.7),(0),13.6,(2.2),(2.1),12.6,43.6,-,52.3,-,3.8,19,1300,310,150,380,4.9,2.3,0.53,1.52,4,4,4,170,(0),0,0,0,0,(0),(0),1.5,0.4,11.0,1.5,30,0.42,0.11,0.8,(5.9),0.23,(0),53,1.18,16.0,Tr,-,0
だいず　［その他］　豆乳　豆乳,0,43,90.8,3.4,3.6,2.6,(0),2.8,1.0,0.9,1.6,0.9,-,2.3,0.2,0.5,2,190,15,25,49,1.2,0.3,0.12,0.23,Tr,1,0,54,(0),0,1,0,1,0,(0),0.1,Tr,2.0,1.0,4,0.03,0.02,0.5,1.4,0.06,(0),28,0.28,3.8,Tr,-,0
だいず　［その他］　豆乳　調製豆乳,0,61,87.9,3.1,3.2,3.4,(0),3.6,1.9,1.8,3.7,1.1,-,4.8,0.2,0.5,50,170,31,19,44,1.2,0.4,0.12,0.23,Tr,1,Tr,32,(0),0,1,0,1,0,(0),2.2,0.1,3.1,0.5,6,0.07,0.02,0.2,1.0,0.05,(0),31,0.24,3.6,Tr,-,0.1
だいず　［その他］　豆乳　豆乳飲料・麦芽コーヒー,0,57,87.4,2.1,2.2,2.1,0,2.2,4.3,4.1,6.9,1.0,-,7.8,0.2,0.4,42,110,20,13,36,0.3,0.2,0.07,0.13,0,1,1,31,0,0,0,0,0,0,0,0.3,Tr,1.8,0.6,3,0.02,0.02,0.4,0.9,0.03,0,15,0.12,-,Tr,-,0.1
だいず　［その他］　大豆たんぱく　粒状大豆たんぱく,0,318,7.8,(44.1),46.3,1.9,(0),3.0,-,-,22.2,17.8,-,36.7,-,6.2,3,2400,270,290,730,7.7,4.5,1.41,2.61,-,-,-,-,(0),0,0,0,0,(0),(0),0,0,0.5,0.3,1,0.67,0.30,2.2,(13.0),0.64,(0),370,1.89,-,Tr,-,0
だいず　［その他］　大豆たんぱく　濃縮大豆たんぱく,0,313,6.8,(55.4),58.2,0.7,(0),1.7,-,-,10.8,20.9,-,27.9,-,5.4,550,1300,280,220,750,9.2,3.1,0.99,2.00,-,-,-,-,(0),0,0,0,0,(0),(0),0,0,0.1,0.1,0,0.37,0.11,0.6,(15.0),0.16,(0),210,0.40,-,Tr,-,1.4
だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分無調整タイプ,0,335,5.9,77.1,79.1,1.6,(0),3.0,1.1,1.0,6.7,4.2,-,7.5,-,4.5,1300,190,57,58,840,9.4,2.9,1.51,0.89,-,-,-,-,(0),0,0,0,0,(0),(0),0,0,0.3,0.2,Tr,0.11,0.14,0.4,20.0,0.06,(0),270,0.37,-,Tr,-,3.3
だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分調整タイプ,0,335,5.9,(77.1),79.1,1.6,(0),3.0,(1.1),(1.0),6.7,4.2,-,7.5,-,4.5,640,260,890,58,840,9.4,2.9,1.51,0.89,-,-,-,-,(0),0,0,0,0,(0),(0),0,0,0.3,0.2,Tr,0.11,0.14,0.4,(20.0),0.06,(0),270,0.37,-,Tr,-,1.6
だいず　［その他］　大豆たんぱく　繊維状大豆たんぱく,0,365,5.8,(56.5),59.3,3.6,(0),5.0,-,-,23.8,5.6,-,25.2,-,4.7,1400,270,70,55,630,8.2,2.4,1.13,1.02,-,-,-,-,(0),0,0,0,0,(0),(0),0.3,0.1,1.5,0.6,2,0.62,0.16,0.5,(15.0),0.08,(0),170,0.34,-,Tr,-,3.6
だいず　［その他］　湯葉　生,0,218,59.1,21.4,21.8,12.3,(0),13.7,1.1,1.0,5.1,0.8,-,4.1,-,1.3,4,290,90,80,250,3.6,2.2,0.70,-,1,3,1,100,(0),-,-,-,10,1,(0),0.9,0.1,4.0,0.3,22,0.17,0.09,0.3,5.4,0.13,(0),25,0.34,14.0,Tr,-,0
だいず　［その他］　湯葉　干し　乾,0,485,6.9,49.7,50.4,30.0,(0),32.1,2.7,2.6,7.0,3.0,-,7.2,-,3.3,12,840,210,220,600,8.3,4.9,3.27,3.43,3,7,4,270,(0),1,7,2,8,1,(0),2.4,0.6,12.0,5.2,55,0.35,0.12,1.4,13.0,0.32,(0),38,0.55,37.0,0,-,0
だいず　［その他］　湯葉　干し　湯戻し,0,151,72.8,15.3,15.7,9.6,(0),10.6,0.4,0.4,0.3,1.2,-,0.1,-,0.9,2,140,66,60,170,2.6,1.6,0.57,1.09,0,2,1,14,(0),0,2,Tr,3,0,(0),0.7,0.2,3.7,1.6,16,0.05,0.01,0.1,3.7,0.03,(0),3,0.12,11.0,0,-,0
だいず　［その他］　金山寺みそ,0,247,34.3,(5.8),6.9,2.6,(0),3.2,-,-,48.5,3.2,-,50.0,-,5.6,2000,190,33,54,130,1.7,0.7,0.16,0.96,1,1,1,34,(0),-,-,-,(0),(0),(0),0,0,0.9,0.2,16,0.12,0.18,2.3,(3.2),0.10,(0),34,0.74,8.1,Tr,-,5.1
だいず　［その他］　ひしおみそ,0,198,46.3,(5.4),6.5,2.2,(0),2.7,-,-,37.5,2.8,-,38.8,-,5.7,1900,340,56,56,120,1.9,0.9,0.32,0.52,1,2,4,37,(0),-,-,-,(0),(0),(0),0.6,0,0.6,1.9,17,0.11,0.27,2.6,(3.4),0.08,(0),12,0.36,7.1,Tr,-,4.8
だいず　［その他］　テンペ,0,180,57.8,(11.9),15.8,7.8,(0),9.0,-,-,10.2,10.2,-,15.4,-,2.0,2,730,70,95,250,2.4,1.7,0.52,0.80,1,3,1,76,(0),-,-,-,1,Tr,(0),0.8,0.2,8.5,4.0,11,0.07,0.09,2.4,(4.9),0.23,0,49,1.08,20.0,Tr,-,0
