名前,エネルギー,ビタミンA,ビタミンC,ビタミンD,ビタミンE,ビタミンK,ナイアシン,パントテン酸,ビオチン,ビタミンB₁,ビタミンB₁₂,ビタミンB₂,ビタミンB₆,葉酸,カリウム,カルシウム,クロム,セレン,マグネシウム,マンガン,モリブデン,ヨウ素,リン,亜鉛,鉄,銅,食塩相当量,たんぱく質,炭水化物,脂質,n-3系脂肪酸,n-6系脂肪酸,飽和脂肪酸,食物繊維
＜牛乳及び乳製品＞　（粉乳類）　全粉乳,490,180,5,0.2,0.6,8,(6.7),3.59,-,0.25,1.6,1.10,0.13,2,1800,890,-,-,92,0.02,-,-,730,2.5,0.4,0.04,1.1,(22.9),(35.9),26.2,0.06,0.66,16.28,(0)
＜牛乳及び乳製品＞　（粉乳類）　脱脂粉乳,354,6,5,Tr,Tr,Tr,(9.0),4.17,19.0,0.30,1.8,1.60,0.27,1,1800,1100,1,27,110,-,35,120,1000,3.9,0.5,0.10,1.4,30.6,50.3,1.0,Tr,0.03,0.44,(0)
＜牛乳及び乳製品＞　（粉乳類）　乳児用調製粉乳,510,560,53,9.3,5.5,24,8.1,2.20,4.4,0.41,1.6,0.72,0.35,82,500,370,4,8,40,0.05,16,41,220,2.8,6.5,0.34,0.4,10.8,53.9,26.8,0.38,4.69,11.27,(0)
＜牛乳及び乳製品＞　（練乳類）　無糖練乳,135,50,Tr,Tr,0.2,3,(1.7),1.10,-,0.06,0.1,0.35,0.01,1,330,270,-,-,21,-,-,-,210,1.0,0.2,0.02,0.4,(6.2),(11.3),7.9,0.02,0.10,4.88,(0)
＜牛乳及び乳製品＞　（練乳類）　加糖練乳,314,120,2,0.1,0.2,0,1.9,1.29,3.2,0.08,0.7,0.37,0.02,1,400,260,0,6,25,0.01,9,35,220,0.8,0.1,0.02,0.2,7.0,55.9,8.5,0.04,0.22,5.59,(0)
＜牛乳及び乳製品＞　（クリーム類）　クリーム　乳脂肪,404,160,0,0.3,0.4,14,0.4,0.13,1.2,0.02,0.2,0.13,Tr,0,76,49,1,2,5,-,14,8,84,0.2,0.1,0.02,0.1,1.6,2.9,43.0,0.21,1.15,26.28,0
＜牛乳及び乳製品＞　（クリーム類）　クリーム　乳脂肪・植物性脂肪,388,200,Tr,0.3,0.4,8,(0.8),0.09,1.0,0.01,0.1,0.07,Tr,2,76,47,2,2,4,0.01,8,8,130,0.3,0.2,0.02,0.4,(3.9),(2.9),42.1,(0.21),(0.96),(18.32),(0)
＜牛乳及び乳製品＞　（クリーム類）　クリーム　植物性脂肪,353,9,0,0.1,4.0,5,0.4,0.17,0.7,0.01,0.1,0.07,0.01,0,67,50,2,1,6,0,2,7,79,0.2,0,0.03,0.1,1.1,2.7,39.5,0.10,1.63,26.61,0
＜牛乳及び乳製品＞　（クリーム類）　ホイップクリーム　乳脂肪,409,350,Tr,0.5,0.7,13,(0.4),0.12,1.1,0.02,0.2,0.08,Tr,Tr,72,54,1,2,4,-,13,7,45,0.2,0.1,0.02,0.1,(1.5),(12.8),40.7,(0.19),(1.06),(24.98),(0)
＜牛乳及び乳製品＞　（クリーム類）　ホイップクリーム　乳脂肪・植物性脂肪,394,180,(Tr),0.2,0.4,7,(0.8),0.08,0.9,0.01,0.1,0.06,(Tr),3,69,42,1,1,3,-,7,7,120,0.3,0.1,0.02,0.3,(3.5),(13.2),38.4,(0.20),(0.87),(16.63),(0)
＜牛乳及び乳製品＞　（クリーム類）　ホイップクリーム　植物性脂肪,399,9,0,0,0,2,(1.1),0.05,0.7,0,0,0.05,0,3,65,30,2,1,3,-,2,6,190,0.4,0.2,0.02,0.6,(5.5),(14.4),36.1,(0.20),(0.68),(8.30),(0)
＜牛乳及び乳製品＞　（クリーム類）　コーヒーホワイトナー　液状　乳脂肪,205,150,Tr,0.2,0.3,5,1.2,0.07,-,0.01,0.1,0.05,0.01,2,55,30,-,-,3,0.01,-,-,150,0.4,0.1,0.01,0.4,4.8,(1.7),18.3,0.08,0.50,11.57,(0)
＜牛乳及び乳製品＞　（クリーム類）　コーヒーホワイトナー　液状　乳脂肪・植物性脂肪,227,77,Tr,0.1,0.1,3,(1.0),0.05,-,0.01,0.1,0.04,0.01,2,50,26,-,-,3,0.01,-,-,140,0.3,0.1,0.01,0.4,(4.2),(1.8),21.6,(0.11),(0.49),(8.66),(0)
＜牛乳及び乳製品＞　（クリーム類）　コーヒーホワイトナー　液状　植物性脂肪,244,3,Tr,0,0,1,(0.8),0.03,0.3,0,0,0.03,0,2,45,21,1,2,2,0.01,1,2,130,0.3,0.1,0.01,0.4,(3.8),(1.9),24.8,0.14,0.47,5.70,(0)
＜牛乳及び乳製品＞　（クリーム類）　コーヒーホワイトナー　粉末状　乳脂肪,504,320,0,0.2,0.8,5,(1.6),0.25,7.9,0.02,0.2,0.65,0.03,10,360,87,Tr,3,9,0.01,10,15,240,0.4,0,0.02,0.9,(6.5),60.6,27.3,0.12,0.51,16.45,0
＜牛乳及び乳製品＞　（クリーム類）　コーヒーホワイトナー　粉末状　植物性脂肪,542,0,0,0,1.0,0,(0.4),0,Tr,0,0,0.01,0,2,220,120,1,1,1,0.01,1,Tr,600,0.2,0.1,0.02,1.8,(1.8),29.0,36.2,0,0,31.00,0
