名前,エネルギー,ビタミンA,ビタミンC,ビタミンD,ビタミンE,ビタミンK,ナイアシン,パントテン酸,ビオチン,ビタミンB₁,ビタミンB₁₂,ビタミンB₂,ビタミンB₆,葉酸,カリウム,カルシウム,クロム,セレン,マグネシウム,マンガン,モリブデン,ヨウ素,リン,亜鉛,鉄,銅,食塩相当量,たんぱく質,炭水化物,脂質,n-3系脂肪酸,n-6系脂肪酸,飽和脂肪酸,食物繊維
（くり類）　中国ぐり　甘ぐり,207,6,2,(0),0.1,0,(2.2),0.57,6.0,0.20,(0),0.18,0.37,100,560,30,0,1,71,1.59,1,0,110,0.9,2.0,0.51,0,(4.3),(43.9),0.9,(0.02),(0.21),(0.13),8.5
くるみ　いり,713,2,0,(0),1.2,7,4.4,0.67,-,0.26,(0),0.15,0.49,91,540,85,-,-,150,3.44,-,-,280,2.6,2.6,1.21,0,13.4,2.8,68.8,8.96,41.32,6.87,7.5
けし　乾,555,Tr,0,(0),1.5,Tr,(4.3),0.81,47.0,1.61,(0),0.20,0.45,180,700,1700,7,8,350,6.88,120,0,820,5.1,23.0,1.48,0,(20.2),3.3,49.1,0.28,32.50,5.44,16.5
ココナッツ　ココナッツパウダー,676,(0),0,(0),0,0,(1.9),0.25,-,0.03,(0),0.03,0.09,10,820,15,-,-,110,1.41,-,-,140,1.4,2.8,0.80,0,(5.6),(6.4),65.8,(0),(1.01),(55.25),14.1
ごま　乾,604,1,Tr,(0),0.1,7,11.0,0.56,12.0,0.95,(0),0.25,0.60,93,400,1200,4,10,370,2.24,92,Tr,540,5.5,9.6,1.66,0,19.3,1.0,53.8,0.15,23.11,7.80,10.8
ごま　いり,605,1,Tr,(0),0.1,12,11.0,0.51,15.0,0.49,(0),0.23,0.64,150,410,1200,4,27,360,2.52,110,Tr,560,5.9,9.9,1.68,0,19.6,0.8,54.2,0.19,22.44,7.58,12.6
ごま　むき,570,0,(0),(0),0.1,1,11.0,0.39,11.0,1.25,(0),0.14,0.44,83,400,62,1,43,340,1.23,120,1,870,5.5,6.0,1.53,0,19.0,0.6,54.9,0.15,19.96,6.42,13.0
ごま　ねり,646,1,0,(0),0.1,0,(12.0),0.24,13.0,0.32,(0),0.15,0.51,99,480,590,5,22,340,1.80,150,Tr,670,5.3,5.8,1.50,0,(18.3),(0.8),61.0,0.21,24.56,8.49,11.2
しい　生,244,1,110,(0),0.1,16,(1.9),0.59,-,0.28,(0),0.09,0.19,8,390,62,-,-,82,2.72,-,-,76,0.1,0.9,0.36,0,(2.6),-,0.8,(0),(0.15),(0.10),3.3
すいか　いり　味付け,528,1,Tr,(0),0.6,1,(7.6),1.04,9.1,0.10,(0),0.16,0.71,120,640,70,1,11,410,1.43,90,24,620,3.9,5.3,1.49,1.5,(28.7),2.3,46.4,0.08,24.91,6.24,7.1
チアシード　乾,446,0,1,(0),0.3,1,15.0,0.53,24.0,0.97,(0),0.25,0.42,84,760,570,8,11,360,4.80,44,0,820,5.9,7.6,1.79,0,18.0,0.9,33.9,19.43,6.08,3.51,36.9
とち　蒸し,148,(0),0,(0),0,1,(0.4),0,-,Tr,(0),0,Tr,1,1900,180,-,-,17,1.46,-,-,27,0.5,0.4,0.44,0.6,(1.5),-,1.9,,,,6.6
はす　未熟　生,81,Tr,27,(0),0.6,1,(2.8),0.85,-,0.18,(0),0.09,0.16,230,410,53,-,-,57,1.33,-,-,190,0.8,0.6,0.22,0,(5.8),(13.2),0.5,0.02,0.18,0.10,2.6
はす　成熟　乾,327,1,1,(0),1.0,0,(8.6),2.58,27.0,0.44,(0),0.11,0.60,200,1300,110,Tr,8,200,8.25,14,10,690,2.8,2.9,1.12,0,(18.0),52.1,2.3,0.07,0.83,0.46,10.3
はす　成熟　ゆで,118,0,0,(0),0.4,0,(2.4),0.32,-,0.08,(0),0.02,0.12,36,240,42,-,-,67,2.92,-,-,190,0.2,1.1,0.30,0,(7.2),(19.9),0.8,(0.02),(0.28),(0.15),5.0
（ひし類）　ひし　生,183,1,12,(0),1.6,2,(3.1),0.71,11.0,0.42,(0),0.08,0.32,430,430,45,0,Tr,84,0.60,2,Tr,150,1.3,1.1,0.06,0,(5.5),15.6,0.5,0.02,0.14,0.06,2.9
（ひし類）　とうびし　生,122,0,7,-,1.4,1,3.0,0.36,8.7,0.25,-,0.03,0.18,110,470,27,0,1,49,0.35,2,Tr,140,0.9,0.7,0.07,0,2.6,30.5,0.4,0.01,0.05,0.06,8.2
（ひし類）　とうびし　ゆで,120,0,5,-,1.2,-,2.7,0.37,7.3,0.19,-,0.03,0.12,71,410,25,0,1,45,0.27,1,Tr,130,0.8,0.5,0.05,0,2.5,28.2,0.3,0.01,0.04,0.05,5.1
ピスタチオ　いり　味付け,617,10,(0),(0),1.4,29,5.5,1.06,-,0.43,(0),0.24,1.22,59,970,120,-,-,120,-,-,-,440,2.5,3.0,1.15,0.7,16.2,(8.2),56.1,0.20,16.22,6.15,9.2
ひまわり　フライ　味付け,603,1,0,(0),12.0,0,11.7,1.66,80.1,1.72,(0),0.25,1.18,280,750,81,1,95,390,2.33,28,0,830,5.0,3.6,1.81,0.6,19.2,2.4,56.3,0.09,28.22,5.68,7.9
ブラジルナッツ　フライ　味付け,703,1,0,(0),4.1,Tr,(3.8),0.23,-,0.88,(0),0.26,0.25,1,620,200,-,-,370,1.29,-,-,680,4.0,2.6,1.95,0.2,(14.1),(3.1),69.1,0.06,28.96,15.81,7.2
ヘーゼルナッツ　フライ　味付け,701,(0),0,(0),18.0,4,(4.2),1.07,82.0,0.26,(0),0.28,0.39,54,610,130,1,1,160,5.24,6,0,320,2.0,3.0,1.64,0.1,(11.0),(4.9),69.3,0.07,5.24,6.21,7.4
ペカン　フライ　味付け,716,4,0,(0),1.7,4,(2.4),1.49,-,0.19,(0),0.19,0.19,43,370,60,-,-,120,4.37,-,-,270,3.6,2.7,0.84,0.4,(8.0),(5.9),73.4,0.99,23.07,7.40,7.1
マカダミアナッツ　いり　味付け,751,(0),(0),(0),Tr,5,3.7,0.50,6.5,0.21,(0),0.09,0.21,16,300,47,2,13,94,-,5,0,140,0.7,1.3,0.33,0.5,7.7,(4.8),76.7,0.09,1.47,12.46,6.2
まつ　生,681,(0),Tr,(0),11.0,1,(6.3),0.59,-,0.63,(0),0.13,0.17,79,730,14,-,-,290,9.78,-,-,680,6.9,5.6,1.44,0,(14.5),(4.0),68.2,0.13,29.72,5.09,4.1
まつ　いり,724,(0),(0),(0),12.0,27,6.1,0.42,-,0.61,(0),0.21,0.10,73,620,15,-,-,250,-,-,-,550,6.0,6.2,1.30,0,13.7,5.4,72.5,0.18,31.36,5.80,6.9
らっかせい　大粒種　乾,572,1,0,0,11.0,0,24.0,2.56,92.0,0.41,(0),0.10,0.49,76,740,49,4,20,170,1.56,88,1,380,2.3,1.6,0.59,0,24.0,10.7,47.0,0.09,13.50,8.25,8.5
らっかせい　大粒種　いり,613,1,0,(0),10.0,Tr,28.0,2.20,110.0,0.24,(0),0.13,0.46,58,760,50,0,2,200,2.15,96,1,390,3.0,1.7,0.69,0,23.6,10.8,49.6,0.10,14.73,9.00,11.4
らっかせい　小粒種　乾,573,1,(0),(0),10.0,Tr,(22.0),2.56,92.0,0.85,(0),0.10,0.46,76,740,50,4,20,170,1.56,88,1,380,2.3,1.6,0.59,0,(24.2),(10.7),47.5,0.09,15.57,10.02,7.4
らっかせい　小粒種　いり,607,1,(0),(0),11.0,Tr,(22.0),2.19,-,0.23,(0),0.10,0.46,57,770,50,-,-,200,-,-,-,390,3.0,1.7,0.69,0,(25.0),(10.7),49.4,(0.10),(16.72),(10.76),7.2
らっかせい　バターピーナッツ,609,Tr,0,(0),1.9,Tr,21.0,2.42,96.0,0.20,(0),0.10,0.48,98,700,50,1,5,190,2.81,68,1,380,3.1,2.0,0.64,0.3,22.6,8.9,53.2,0.05,15.67,10.27,9.5
らっかせい　ピーナッツバター,599,Tr,(0),(0),4.8,0,20.0,1.87,79.0,0.10,(0),0.09,0.36,86,650,47,3,5,180,1.45,92,1,370,2.7,1.6,0.65,0.9,19.7,19.8,50.4,0.05,14.56,11.28,7.6
アーティチョーク　花らい　生,39,1,15,(0),0.4,2,(1.9),0.51,-,0.08,(0),0.10,0.08,81,430,52,-,-,50,0.19,-,-,61,0.2,0.8,0.05,0.1,(1.9),(1.0),0.2,(0.02),(0.06),(0.05),8.7
アーティチョーク　花らい　ゆで,35,Tr,11,(0),0.4,2,(1.7),0.51,-,0.07,(0),0.08,0.06,76,380,47,-,-,46,0.15,-,-,55,0.2,0.7,0.05,0,(1.7),(0.9),0.1,(0.01),(0.03),(0.02),8.6
アイスプラント　生,5,100,9,-,0.5,73,0.5,0.1,0.7,0.02,-,0.05,0.05,24,260,18,0,Tr,11,0.83,28,4,24,0.2,0.2,0.03,1,0.5,0.1,0.3,0,0,0.02,0.8
あさつき　葉　生,34,62,26,(0),0.9,50,(1.8),0.62,-,0.15,(0),0.16,0.36,210,330,20,-,-,16,0.40,-,-,86,0.8,0.7,0.09,0,(2.9),-,0.3,(0.04),(0.04),(0.04),3.3
あさつき　葉　ゆで,41,60,27,(0),0.9,43,(1.7),0.55,-,0.17,(0),0.15,0.27,200,330,21,-,-,17,0.43,-,-,85,0.8,0.7,0.09,0,(2.9),-,0.3,(0.04),(0.04),(0.04),3.4
あしたば　茎葉　生,30,440,41,(0),2.6,500,(2.2),0.92,-,0.10,(0),0.24,0.16,100,540,65,-,-,26,1.05,-,-,65,0.6,1.0,0.16,0.2,(2.4),-,0.1,,,,5.6
あしたば　茎葉　ゆで,28,440,23,(0),2.7,380,(1.5),0.45,-,0.07,(0),0.16,0.10,75,390,58,-,-,20,0.92,-,-,51,0.3,0.5,0.13,0.1,(2.1),-,0.1,,,,5.3
アスパラガス　若茎　生,21,31,15,(0),1.5,43,1.4,0.59,1.8,0.14,(0),0.15,0.12,190,270,19,0,0,9,0.19,2,1,60,0.5,0.7,0.10,0,1.8,2.1,0.2,(0.02),(0.07),(0.07),1.8
アスパラガス　若茎　ゆで,25,30,16,(0),1.6,46,(1.5),0.54,-,0.14,(0),0.14,0.08,180,260,19,-,-,12,0.23,-,-,61,0.6,0.6,0.13,0,(1.8),(2.3),0.1,(0.01),(0.03),(0.02),2.1
アスパラガス　若茎　油いため,54,31,14,(0),2.0,48,(1.7),0.58,-,0.15,(0),0.17,0.11,220,310,21,-,-,10,0.22,-,-,66,0.5,0.7,0.11,0,(2.0),(2.3),3.9,(0.30),(0.75),(0.31),2.1
アスパラガス　水煮缶詰,24,1,11,(0),0.4,4,(1.6),0.12,-,0.07,(0),0.06,0.02,15,170,21,-,-,7,0.05,-,-,41,0.3,0.9,0.07,0.9,(1.6),(2.3),0.1,(Tr),(0.04),(0.02),1.7
アロエ　葉　生,3,0,1,(0),0,0,0,0.06,-,0,(0),0,0.01,4,43,56,-,-,4,0.02,-,-,2,0,0,Tr,0,-,-,0.1,,,,0.4
いんげんまめ　さやいんげん　若ざや　生,23,49,8,(0),0.2,60,0.9,0.17,4.5,0.06,(0),0.11,0.07,50,260,50,0,0,23,0.33,18,Tr,41,0.3,0.7,0.06,0,1.3,2.2,0.1,(0.03),(0.02),(0.02),2.4
いんげんまめ　さやいんげん　若ざや　ゆで,24,48,6,(0),0.2,51,(0.8),0.16,4.2,0.06,(0),0.10,0.07,53,270,53,0,0,22,0.34,20,Tr,43,0.3,0.7,0.06,0,(1.2),(2.4),0.2,(0.06),(0.04),(0.05),3.9
（うど類）　うど　茎　生,19,(0),4,(0),0.2,2,(0.7),0.12,0.5,0.02,(0),0.01,0.04,19,220,7,0,0,9,0.04,0,Tr,25,0.1,0.2,0.05,0,(0.8),-,0.1,,,,1.4
（うど類）　うど　茎　水さらし,13,(0),3,(0),0.1,2,(0.6),0.08,-,0.01,(0),0.02,0.03,19,200,6,-,-,8,0.03,-,-,23,0.1,0.1,0.04,0,(0.6),-,0,,,,1.6
（うど類）　やまうど　茎　生,19,Tr,5,(0),0.2,3,(0.8),0.13,-,0.03,(0),0.02,0.05,20,270,11,-,-,13,0.09,-,-,31,0.2,0.3,0.06,0,(1.0),-,0.1,,,,1.8
うるい　葉　生,19,160,50,(0),1.3,160,1.0,0.31,3.1,0.09,(0),0.12,0.10,120,390,40,0,1,14,0.79,4,1,52,0.5,0.5,0.09,0,1.5,1.2,0.4,0.07,0.08,0.06,3.3
えだまめ　生,125,22,27,(0),0.8,30,4.2,0.53,11.0,0.31,(0),0.15,0.15,320,590,58,1,1,62,0.71,240,0,170,1.4,2.7,0.41,0,10.3,4.7,6.2,0.52,2.25,0.84,5.0
えだまめ　ゆで,118,24,15,(0),0.6,33,(3.5),0.45,-,0.24,(0),0.13,0.08,260,490,76,-,-,72,0.74,-,-,170,1.3,2.5,0.36,0,(9.8),(4.6),6.1,0.54,2.28,0.86,4.6
えだまめ　冷凍,143,15,27,(0),1.2,28,(4.5),0.51,9.2,0.28,(0),0.13,0.14,310,650,76,0,2,76,1.12,190,2,190,1.4,2.5,0.42,0,(11.1),5.3,7.6,0.50,2.85,0.95,7.3
エンダイブ　葉　生,14,140,7,(0),0.8,120,(0.4),0.16,-,0.06,(0),0.08,0.08,90,270,51,-,-,19,1.10,-,-,30,0.4,0.6,0.05,0.1,(0.9),-,0.2,(0.01),(0.08),(0.05),2.2
（えんどう類）　トウミョウ　茎葉　生,28,340,79,(0),3.3,280,(1.6),0.80,-,0.24,(0),0.27,0.19,91,350,34,-,-,22,1.11,-,-,61,0.4,1.0,0.08,0,(2.2),-,0.4,,,,3.3
（えんどう類）　トウミョウ　芽ばえ　生,27,250,43,(0),1.6,210,(1.3),0.39,-,0.17,(0),0.21,0.15,120,130,7,-,-,13,0.23,-,-,47,0.5,0.8,0.10,0,(2.2),-,0.4,,,,2.2
（えんどう類）　トウミョウ　芽ばえ　ゆで,28,400,14,(0),3.2,300,(0.8),0.27,-,0.10,(0),0.08,0.07,51,73,8,-,-,13,0.25,-,-,41,0.3,0.9,0.09,0,(2.1),-,0.6,,,,3.5
（えんどう類）　トウミョウ　芽ばえ　油いため,84,370,30,(0),3.7,300,(1.8),0.60,-,0.21,(0),0.26,0.18,180,170,8,-,-,17,0.29,-,-,62,0.6,1.0,0.13,0,(2.9),-,5.9,,,,3.0
（えんどう類）　さやえんどう　若ざや　生,38,47,60,(0),0.7,47,1.2,0.56,5.1,0.15,(0),0.11,0.08,73,200,35,0,0,24,0.40,24,Tr,63,0.6,0.9,0.10,0,1.8,4.2,0.2,(0.01),(0.08),(0.04),3.0
（えんどう類）　さやえんどう　若ざや　ゆで,36,48,44,(0),0.7,40,(1.0),0.47,-,0.14,(0),0.10,0.06,56,160,36,-,-,23,0.39,-,-,61,0.6,0.8,0.09,0,(1.8),(4.0),0.2,(0.01),(0.08),(0.04),3.1
（えんどう類）　スナップえんどう　若ざや　生,47,34,43,(0),0.4,33,(1.1),0.22,-,0.13,(0),0.09,0.09,53,160,32,-,-,21,0.22,-,-,62,0.4,0.6,0.08,0,(1.6),(5.9),0.1,(0.01),(0.04),(0.02),2.5
（えんどう類）　グリンピース　生,76,35,19,(0),0.1,27,3.7,0.63,6.3,0.39,(0),0.16,0.15,76,340,23,0,1,37,0.48,65,0,120,1.2,1.7,0.19,0,5.0,12.8,0.4,0.01,0.07,0.05,7.7
（えんどう類）　グリンピース　ゆで,99,36,16,(0),0.1,31,(3.3),0.54,-,0.29,(0),0.14,0.09,70,340,32,-,-,39,0.68,-,-,80,1.2,2.2,0.19,0,(5.9),(15.2),0.2,(0.01),(0.03),(0.02),8.6
（えんどう類）　グリンピース　冷凍,80,36,20,(0),Tr,27,3.0,0.39,5.3,0.29,0,0.11,0.09,77,240,27,1,1,31,0.38,77,0,110,1.0,1.6,0.17,0,4.5,11.4,0.7,0.04,0.21,0.11,9.3
（えんどう類）　グリンピース　冷凍　ゆで,82,41,13,(0),Tr,29,2.9,0.36,5.2,0.27,0,0.09,0.08,68,210,29,1,1,32,0.39,60,0,110,1.0,1.7,0.16,0,4.8,11.6,0.7,0.04,0.22,0.12,10.3
（えんどう類）　グリンピース　冷凍　油いため,114,39,16,(0),0.8,34,3.1,0.48,5.8,0.31,0,0.12,0.09,81,260,28,1,1,33,0.41,74,0,110,1.0,1.7,0.18,0,4.8,11.8,4.6,0.33,0.87,0.37,9.3
（えんどう類）　グリンピース　水煮缶詰,82,17,0,(0),0,19,(1.7),0.69,-,0.04,(0),0.04,0.02,10,37,33,-,-,18,0.30,-,-,82,0.6,1.8,0.15,0.8,(2.6),(11.8),0.4,(0.02),(0.11),(0.06),6.9
おおさかしろな　葉　生,12,110,28,(0),1.2,190,(0.9),0.24,-,0.06,(0),0.18,0.13,150,400,150,-,-,21,0.29,-,-,52,0.5,1.2,0.06,0.1,(1.1),-,0.2,(0.05),(0.01),(0.02),1.8
おおさかしろな　葉　ゆで,16,130,24,(0),1.9,240,(0.6),0.12,-,0.03,(0),0.09,0.07,86,240,140,-,-,15,0.29,-,-,46,0.5,1.0,0.05,0.1,(1.2),-,0.3,(0.07),(0.01),(0.03),2.2
おおさかしろな　塩漬,19,110,38,(0),1.6,340,(0.9),0.23,-,0.06,(0),0.15,0.16,88,380,130,-,-,21,0.26,-,-,52,0.6,0.7,0.06,1.6,(1.0),-,0.3,(0.07),(0.01),(0.03),3.1
おかひじき　茎葉　生,16,280,21,(0),1.0,310,0.7,0.22,-,0.06,(0),0.13,0.04,93,680,150,-,-,51,0.66,-,-,40,0.6,1.3,0.10,0.1,-,-,0.2,,,,2.5
おかひじき　茎葉　ゆで,16,260,15,(0),1.0,360,0.6,0.22,-,0.04,(0),0.10,0.03,85,510,150,-,-,48,0.59,-,-,34,0.6,0.9,0.10,0.2,-,-,0.1,,,,2.7
オクラ　果実　生,26,44,11,(0),1.2,66,1.2,0.42,6.6,0.09,(0),0.09,0.1,110,280,92,0,0,51,0.48,6,Tr,58,0.6,0.5,0.13,0,1.5,1.9,0.2,(Tr),(0.03),(0.03),5.0
オクラ　果実　ゆで,25,44,7,(0),1.2,66,(1.2),0.42,6.5,0.09,(0),0.09,0.08,110,280,90,0,0,51,0.48,8,0,56,0.5,0.5,0.11,0,(1.5),(2.1),0.1,(0),(0.02),(0.02),5.4
かぶ　葉　生,20,230,82,(0),3.1,340,(1.7),0.36,2.7,0.08,(0),0.16,0.16,110,330,250,2,3,25,0.64,16,6,42,0.3,2.1,0.10,0.1,(2.0),-,0.1,(0.03),(Tr),(0.01),2.9
かぶ　葉　ゆで,20,270,47,(0),3.3,370,(1.0),0.24,-,0.02,(0),0.05,0.14,66,180,190,-,-,14,0.41,-,-,47,0.2,1.5,0.08,0,(2.0),-,0.1,(0.03),(Tr),(0.01),3.7
かぶ　根　皮つき　生,18,(0),19,(0),0,0,0.8,0.25,-,0.03,(0),0.03,0.08,48,280,24,-,-,8,0.06,-,-,28,0.1,0.3,0.03,0,0.6,3.0,0.1,(0.04),(0.01),(0.01),1.5
かぶ　根　皮つき　ゆで,18,(0),16,(0),0,0,(0.8),0.22,-,0.03,(0),0.03,0.05,49,310,28,-,-,10,0.07,-,-,32,0.1,0.3,0.03,0,(0.6),(3.1),0.1,(0.04),(0.01),(0.01),1.8
かぶ　根　皮なし　生,19,(0),18,(0),0,0,0.7,0.23,1.0,0.03,(0),0.03,0.07,49,250,24,0,0,8,0.05,1,0,25,0.1,0.2,0.03,0,0.5,3.5,0.1,(0.04),(0.01),(0.01),1.4
かぶ　根　皮なし　ゆで,20,(0),16,(0),0,0,(0.6),0.21,-,0.03,(0),0.03,0.06,56,250,28,-,-,9,-,-,-,26,0.1,0.2,0.02,0,(0.5),(3.6),0.1,(0.04),(0.01),(0.01),1.7
かぶ　漬物　塩漬　葉,27,100,44,(0),2.9,360,(1.8),0.49,-,0.07,(0),0.19,1.10,78,290,240,-,-,32,0.33,-,-,46,0.3,2.6,0.06,2.3,(2.0),-,0.2,(0.06),(0.01),(0.02),3.6
かぶ　漬物　塩漬　根　皮つき,21,(0),19,(0),0,0,(0.9),0.39,-,0.02,(0),0.03,0.08,48,310,48,-,-,11,0.05,-,-,36,0.1,0.3,0.03,2.8,(0.8),-,0.2,(0.08),(0.02),(0.02),1.9
かぶ　漬物　塩漬　根　皮なし,19,(0),21,(0),0,0,(0.3),0.25,-,0.04,(0),0.03,0.10,58,400,33,-,-,14,0.05,-,-,38,0.2,0.3,0.04,4.3,(0.7),-,0.1,(0.04),(0.01),(0.01),2.0
かぶ　漬物　ぬかみそ漬　葉,35,140,49,(0),4.0,260,5.4,0.73,-,0.31,(0),0.24,0.36,81,540,280,-,-,65,0.40,-,-,81,0.4,2.2,0.09,3.8,-,-,0.1,,,,4.0
かぶ　漬物　ぬかみそ漬　根　皮つき,27,(0),28,(0),0,Tr,3.1,0.46,-,0.25,(0),0.04,0.19,74,500,57,-,-,29,0.09,-,-,44,0.2,0.3,0.04,2.2,-,-,0.1,,,,2.0
かぶ　漬物　ぬかみそ漬　根　皮なし,31,(0),20,(0),0,0,3.4,1.11,-,0.45,(0),0.05,0.42,70,740,26,-,-,68,-,-,-,76,0.2,0.3,0.04,6.9,-,-,0.1,,,,1.8
（かぼちゃ類）　日本かぼちゃ　果実　生,41,120,16,(0),2.2,26,1.2,0.5,1.9,0.08,(0),0.05,0.15,80,420,20,0,0,15,0.08,1,Tr,55,0.3,0.5,0.08,0,1.1,8.3,0.1,0.02,0.01,0.01,2.8
（かぼちゃ類）　日本かぼちゃ　果実　ゆで,55,92,16,(0),2.1,27,(1.1),0.50,1.7,0.06,(0),0.03,0.12,75,350,18,-,0,15,0.08,1,0,45,0.2,0.5,0.07,0,(1.3),(9.9),0.1,(0.02),(0.01),(0.01),3.0
（かぼちゃ類）　西洋かぼちゃ　果実　生,78,210,43,(0),3.9,37,1.7,0.62,1.9,0.07,(0),0.08,0.23,42,430,22,0,0,25,0.07,5,Tr,48,0.3,0.4,0.07,0,1.2,17.0,0.3,0.02,0.04,0.04,3.5
（かぼちゃ類）　西洋かぼちゃ　果実　ゆで,80,210,32,(0),3.4,31,(1.4),0.62,1.5,0.04,(0),0.06,0.18,38,340,22,-,0,24,0.07,6,Tr,37,0.3,0.3,0.07,0,(1.0),(17.4),0.3,(0.02),(0.04),(0.04),4.1
（かぼちゃ類）　西洋かぼちゃ　果実　焼き,105,450,44,(0),6.9,0,(2.5),0.77,-,0.09,(0),0.12,0.22,58,570,19,-,-,31,0.17,-,-,55,0.4,0.6,0.08,0,(1.5),(22.8),0.4,(0.03),(0.05),(0.05),5.3
（かぼちゃ類）　西洋かぼちゃ　果実　冷凍,75,310,34,(0),4.2,17,(1.7),0.44,-,0.06,(0),0.09,0.19,48,430,25,-,-,26,0.14,-,-,46,0.6,0.5,0.05,0,(1.3),(15.7),0.3,(0.02),(0.04),(0.04),4.2
（かぼちゃ類）　そうめんかぼちゃ　果実　生,25,4,11,(0),0.2,Tr,(0.7),0.36,-,0.05,(0),0.01,0.10,25,260,27,-,-,16,0.09,-,-,35,0.2,0.3,0.05,0,(0.5),-,0.1,(0.03),(0.02),(0.02),1.5
からしな　葉　生,26,230,64,(0),3.0,260,2.2,0.32,-,0.12,(0),0.27,0.25,310,620,140,-,-,21,1.02,-,-,72,0.9,2.2,0.08,0.2,2.8,-,0.1,,,,3.7
からしな　塩漬,36,250,80,(0),3.1,270,(1.8),0.37,-,0.08,(0),0.28,0.27,210,530,150,-,-,23,0.76,-,-,71,1.1,1.8,0.10,2.5,(3.3),-,0.1,,,,5.0
カリフラワー　花序　生,28,2,81,(0),0.2,17,1.3,1.30,8.5,0.06,(0),0.11,0.23,94,410,24,0,0,18,0.22,4,0,68,0.6,0.6,0.05,0,2.1,3.2,0.1,(0.01),(Tr),(0.05),2.9
カリフラワー　花序　ゆで,26,1,53,(0),0.2,31,(0.7),0.84,-,0.05,(0),0.05,0.13,88,220,23,-,-,13,0.17,-,-,37,0.4,0.7,0.03,0,(1.9),(3.0),0.1,(0.01),(Tr),(0.05),3.2
かんぴょう　乾,239,(0),0,(0),0.4,Tr,3.2,1.75,8.0,0,(0),0.04,0.04,99,1800,250,5,2,110,1.60,13,2,140,1.8,2.9,0.62,0,4.4,33.3,0.2,,,,30.1
かんぴょう　ゆで,21,(0),0,(0),0.1,0,(0.4),0,-,0,(0),0,0,7,100,34,-,-,10,0.14,-,-,16,0.2,0.3,0.08,0,(0.5),(3.5),0,,,,5.3
かんぴょう　甘煮,146,(0),0,0,Tr,0,0.4,0.07,1.9,0.01,Tr,-,0.03,10,90,44,2,2,21,0.31,8,8,34,0.3,0.5,0.05,3.1,2.0,26.7,0.2,,,,5.5
きく　花びら　生,25,6,11,(0),4.6,11,(0.9),0.20,-,0.10,(0),0.11,0.08,73,280,22,-,-,12,0.36,-,-,28,0.3,0.7,0.04,0,(1.2),-,0,,,,3.4
きく　花びら　ゆで,21,5,5,(0),4.1,10,(0.5),0.15,-,0.06,(0),0.07,0.04,40,140,16,-,-,9,0.24,-,-,20,0.2,0.5,0.04,0,(0.8),-,0,,,,2.9
きく　菊のり,283,15,10,(0),25.0,62,(7.2),1.50,-,0.73,(0),0.89,0.69,370,2500,160,-,-,140,1.34,-,-,250,2.2,11.0,0.62,0,(9.5),-,0.2,,,,29.6
（キャベツ類）　キャベツ　結球葉　生,23,2,38,(0),0.1,79,0.4,0.19,1.5,0.04,(0),0.03,0.1,66,190,42,0,0,14,0.13,2,0,26,0.1,0.3,0.02,0,0.8,3.9,0.1,0.01,0.01,0.02,1.8
（キャベツ類）　キャベツ　結球葉　ゆで,19,5,17,(0),0.1,76,(0.2),0.11,1.2,0.02,(0),0.01,0.05,48,92,40,0,Tr,9,0.14,3,0,20,0.1,0.2,0.02,0,(0.6),1.9,0.2,(0.01),(0.01),(0.02),2.0
（キャベツ類）　キャベツ　結球葉　油いため,78,7,47,(0),1.1,120,(0.5),0.30,-,0.05,(0),0.04,0.15,130,250,53,-,-,17,0.19,-,-,33,0.2,0.4,0.03,0,(1.1),(2.7),6.0,(0.45),(1.09),(0.44),2.2
（キャベツ類）　キャベツ　結球葉　カット　常法洗浄,15,1,29,-,0.1,67,0.3,0.2,1.2,0.04,-,0.03,0.08,52,150,35,0,0,12,0.09,3,0,22,0.1,0.3,0.02,0,0.8,3.1,0.1,0.01,0.01,0.02,1.9
（キャベツ類）　キャベツ　結球葉　カット　次亜塩素酸洗浄,14,1,28,-,0.1,62,0.3,0.18,1.1,0.04,-,0.03,0.08,58,140,38,0,0,13,0.09,2,0,21,0.1,0.3,0.02,0,0.7,3.8,0.2,0.01,0.01,0.03,2.0
（キャベツ類）　グリーンボール　結球葉　生,20,9,47,(0),0.2,79,(0.6),0.31,-,0.05,(0),0.04,0.13,53,270,58,-,-,17,0.18,-,-,41,0.2,0.4,0.03,0,(1.0),(3.2),0.1,(Tr),(0.01),(0.01),1.6
（キャベツ類）　レッドキャベツ　結球葉　生,30,3,68,(0),0.1,29,(0.6),0.35,-,0.07,(0),0.03,0.19,58,310,40,-,-,13,0.20,-,-,43,0.3,0.5,0.04,0,(1.3),(3.5),0.1,0.01,0.01,0.01,2.8
きゅうり　果実　生,13,28,14,(0),0.3,34,0.4,0.33,1.4,0.03,(0),0.03,0.05,25,200,26,1,1,15,0.07,4,1,36,0.2,0.3,0.11,0,0.7,2.0,0.1,0.01,Tr,0.01,1.1
きゅうり　漬物　塩漬,17,18,11,(0),0.3,46,(0.4),0.34,-,0.02,(0),0.03,0.06,28,220,26,-,-,15,0.07,-,-,38,0.2,0.2,0.07,2.5,(0.7),-,0.1,(0.01),(Tr),(0.01),1.3
きゅうり　漬物　しょうゆ漬,51,48,8,(0),0.5,83,0.6,0.12,-,0.03,(0),0.02,0.01,5,79,39,-,-,21,0.16,-,-,29,0.2,1.3,0.08,4.1,-,-,0.4,(0.03),(0.02),(0.05),3.4
