food_name,energy,protein,saturated_fatty_acids,n6_fatty_acids,n3_fatty_acids,carbohydrate,fiber,vitamin_a,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,niacin,vitamin_b6,vitamin_b12,folate,pantothenic_acid,biotin,vitamin_c,salt_equivalent,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,iodine,selenium,chromium,molybdenum,quantity,unit,price
（キャベツ類）　キャベツ　結球葉　カット　次亜塩素酸洗浄,14.0,0.7,0.03,0.01,0.01,3.8,2.0,1.0,0.0,0.1,62.0,0.04,0.03,0.2,0.08,0.0,58.0,0.18,1.1,28.0,0.0,140.0,38.0,13.0,21.0,0.3,0.1,0.02,0.09,0.0,0.0,0.0,2.0,100,g,
（キャベツ類）　グリーンボール　結球葉　生,20.0,1.0,0.01,0.01,0.0,3.2,1.6,9.0,0.0,0.2,79.0,0.05,0.04,0.4,0.13,0.0,53.0,0.31,0.0,47.0,0.0,270.0,58.0,17.0,41.0,0.4,0.2,0.03,0.18,0.0,0.0,0.0,0.0,100,g,
（キャベツ類）　レッドキャベツ　結球葉　生,30.0,1.3,0.01,0.01,0.01,3.5,2.8,3.0,0.0,0.1,29.0,0.07,0.03,0.3,0.19,0.0,58.0,0.35,0.0,68.0,0.0,310.0,40.0,13.0,43.0,0.5,0.3,0.04,0.2,0.0,0.0,0.0,0.0,100,g,
きゅうり　果実　生,13.0,0.7,0.01,0.0,0.01,2.0,1.1,28.0,0.0,0.3,34.0,0.03,0.03,0.2,0.05,0.0,25.0,0.33,1.4,14.0,0.0,200.0,26.0,15.0,36.0,0.3,0.2,0.11,0.07,1.0,1.0,1.0,4.0,100,g,
きゅうり　漬物　塩漬,17.0,0.7,0.01,0.0,0.01,0.0,1.3,18.0,0.0,0.3,46.0,0.02,0.03,0.2,0.06,0.0,28.0,0.34,0.0,11.0,2.5,220.0,26.0,15.0,38.0,0.2,0.2,0.07,0.07,0.0,0.0,0.0,0.0,100,g,
きゅうり　漬物　しょうゆ漬,51.0,0.0,0.05,0.02,0.03,0.0,3.4,48.0,0.0,0.5,83.0,0.03,0.02,0.1,0.01,0.0,5.0,0.12,0.0,8.0,4.1,79.0,39.0,21.0,29.0,1.3,0.2,0.08,0.16,0.0,0.0,0.0,0.0,100,g,
きゅうり　漬物　ぬかみそ漬,28.0,0.0,0.01,0.0,0.01,0.0,1.5,18.0,0.0,0.2,110.0,0.26,0.05,1.6,0.2,0.0,22.0,0.93,1.2,22.0,5.3,610.0,22.0,48.0,88.0,0.3,0.2,0.11,0.14,1.0,1.0,1.0,7.0,100,g,
きゅうり　漬物　ピクルス　スイート型,70.0,0.2,0.02,0.01,0.01,17.4,1.7,4.0,0.0,0.1,32.0,0.0,0.01,0.1,0.04,0.0,2.0,0.0,0.0,0.0,1.1,18.0,25.0,6.0,16.0,0.3,0.1,0.04,0.0,0.0,0.0,0.0,0.0,100,g,
ぎょうじゃにんにく　葉　生,35.0,2.4,0.02,0.03,0.03,0.0,3.3,170.0,0.0,0.4,320.0,0.1,0.16,0.8,0.15,0.0,85.0,0.39,0.0,59.0,0.0,340.0,29.0,22.0,30.0,1.4,0.4,0.16,0.0,0.0,0.0,0.0,0.0,100,g,
キンサイ　茎葉　生,16.0,0.9,0.06,0.11,0.02,0.0,2.5,150.0,0.0,1.2,180.0,0.05,0.11,0.6,0.08,0.0,47.0,0.35,0.0,15.0,0.1,360.0,140.0,26.0,56.0,0.5,0.5,0.02,0.52,0.0,0.0,0.0,0.0,100,g,
キンサイ　茎葉　ゆで,15.0,0.9,0.06,0.11,0.02,0.0,2.9,130.0,0.0,1.2,210.0,0.03,0.06,0.4,0.05,0.0,31.0,0.34,0.0,7.0,0.1,320.0,140.0,24.0,56.0,0.5,0.5,0.02,0.42,0.0,0.0,0.0,0.0,100,g,
クレソン　茎葉　生,13.0,1.5,0.03,0.01,0.02,0.5,2.5,230.0,0.0,1.6,190.0,0.1,0.2,0.5,0.13,0.0,150.0,0.3,4.0,26.0,0.1,330.0,110.0,13.0,57.0,1.1,0.2,0.05,0.0,2.0,2.0,1.0,20.0,100,g,
ケール　葉　生,26.0,1.6,0.03,0.02,0.04,1.2,3.7,240.0,0.0,2.4,210.0,0.06,0.15,0.9,0.16,0.0,120.0,0.31,4.0,81.0,0.0,420.0,220.0,44.0,45.0,0.8,0.3,0.05,0.55,1.0,4.0,1.0,38.0,100,g,
（ごぼう類）　ごぼう　根　生,58.0,1.1,0.02,0.04,0.0,1.1,5.7,0.0,0.0,0.6,0.0,0.05,0.04,0.4,0.1,0.0,68.0,0.23,1.3,3.0,0.0,320.0,46.0,54.0,62.0,0.7,0.8,0.21,0.18,2.0,1.0,1.0,1.0,100,g,
（ごぼう類）　ごぼう　根　ゆで,50.0,0.9,0.03,0.07,0.0,0.9,6.1,0.0,0.0,0.6,0.0,0.03,0.02,0.2,0.09,0.0,61.0,0.19,0.0,1.0,0.0,210.0,48.0,40.0,46.0,0.7,0.7,0.16,0.16,0.0,0.0,0.0,0.0,100,g,
こまつな　葉　生,13.0,1.3,0.02,0.01,0.06,0.3,1.9,260.0,0.0,0.9,210.0,0.09,0.13,1.0,0.12,0.0,110.0,0.32,2.9,39.0,0.0,500.0,170.0,12.0,45.0,2.8,0.2,0.06,0.13,2.0,1.0,2.0,10.0,100,g,
こまつな　葉　ゆで,14.0,1.4,0.01,0.0,0.03,0.3,2.4,260.0,0.0,1.5,320.0,0.04,0.06,0.3,0.06,0.0,86.0,0.23,0.0,21.0,0.0,140.0,150.0,14.0,46.0,2.1,0.3,0.07,0.17,0.0,0.0,0.0,0.0,100,g,
さんとうさい　葉　生,12.0,0.8,0.02,0.01,0.05,0.0,2.2,96.0,0.0,0.8,100.0,0.03,0.07,0.5,0.08,0.0,130.0,0.17,0.0,35.0,0.0,360.0,140.0,14.0,27.0,0.7,0.3,0.04,0.16,0.0,0.0,0.0,0.0,100,g,
さんとうさい　葉　ゆで,14.0,1.1,0.03,0.01,0.07,0.0,2.5,130.0,0.0,0.9,140.0,0.02,0.05,0.3,0.05,0.0,74.0,0.12,0.0,22.0,0.0,240.0,130.0,13.0,30.0,0.6,0.4,0.04,0.2,0.0,0.0,0.0,0.0,100,g,
さんとうさい　塩漬,18.0,1.1,0.03,0.01,0.07,0.0,3.0,140.0,0.0,1.0,150.0,0.04,0.12,0.6,0.1,0.0,98.0,0.21,0.0,44.0,2.3,420.0,190.0,17.0,35.0,0.6,0.4,0.06,0.16,0.0,0.0,0.0,0.0,100,g,
（ししとう類）　ししとう　果実　生,24.0,1.3,0.03,0.05,0.02,1.2,3.6,44.0,0.0,1.3,51.0,0.07,0.07,1.4,0.39,0.0,33.0,0.35,4.2,57.0,0.0,340.0,11.0,21.0,34.0,0.5,0.3,0.1,0.18,0.0,4.0,1.0,4.0,100,g,
（ししとう類）　ししとう　果実　油いため,51.0,1.3,0.24,0.59,0.23,1.2,3.6,45.0,0.0,1.3,52.0,0.07,0.07,1.5,0.4,0.0,34.0,0.36,3.7,49.0,0.0,380.0,15.0,21.0,39.0,0.6,0.3,0.1,0.18,0.0,4.0,1.0,4.0,100,g,
しそ　葉　生,32.0,3.1,0.01,0.01,0.01,0.0,7.3,880.0,0.0,3.9,690.0,0.13,0.34,1.0,0.19,0.0,110.0,1.0,5.1,26.0,0.0,500.0,230.0,70.0,70.0,1.7,1.3,0.2,2.01,6.0,1.0,2.0,30.0,100,g,
しそ　実　生,32.0,2.7,0.01,0.01,0.03,0.0,8.9,220.0,0.0,3.8,190.0,0.09,0.16,1.8,0.12,0.0,72.0,0.8,0.0,5.0,0.0,300.0,100.0,71.0,85.0,1.2,1.0,0.52,1.35,0.0,0.0,0.0,0.0,100,g,
